Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
PRG.DE,The Procter & Gamble Company,134.96,-0.02,-0.01%,"3,664","4,029",319.83B,25.32
ORC.F,Oracle Corporation,115.42,+2.64,+2.34%,"2,523",565,313.133B,38.73
ORC.DE,Oracle Corporation,114.74,+2.02,+1.79%,"5,756","2,171",311.454B,39.43
NESM.F,Nestlé S.A.,111.00,+1.00,+0.91%,43,256,296.159B,31.62
HDI0.F,"The Home Depot, Inc.",13.70,0.00,0.00%,100,0,279.292B,0.90
HDI.DE,"The Home Depot, Inc.",276.60,-0.20,-0.07%,364,580,279.089B,18.27
HDI.F,"The Home Depot, Inc.",275.40,-0.40,-0.15%,97,130,278.887B,18.38
CHV.DE,Chevron Corporation,146.32,+0.82,+0.56%,714,"1,211",277.424B,8.59
CHV.F,Chevron Corporation,145.06,-3.10,-2.09%,796,429,274.836B,8.35
YIQG.F,Barclays Bank PLC,94.74,-0.11,-0.12%,N/A,0,199.813B,N/A
ASMF.F,ASML Holding N.V.,672.00,-8.00,-1.18%,106,33,265.398B,38.60
ASME.DE,ASML Holding N.V.,674.80,-7.50,-1.10%,"3,611","3,053",266.269B,38.78
ASME.F,ASML Holding N.V.,672.20,-11.20,-1.64%,396,433,265.243B,38.72
NCB.F,Bank of America Corporation,26.78,-0.14,-0.52%,"2,778","4,508",213.977B,8.78
NCB.DE,Bank of America Corporation,26.66,-0.60,-2.20%,"3,147","16,878",212.458B,8.68
6MK.DE,"Merck & Co., Inc.",100.00,-0.20,-0.20%,"4,014","1,163",255.05B,21.37
6MK.F,"Merck & Co., Inc.",100.00,-1.40,-1.38%,420,439,253.744B,21.14
CCC.F,The Coca-Cola Company,15.30,0.00,0.00%,1,22,243.952B,7.22
CCC3.F,The Coca-Cola Company,55.98,-0.32,-0.57%,"3,005","3,128",242.565B,26.41
CCC3.DE,The Coca-Cola Company,55.70,-0.57,-1.01%,"21,112","8,920",241.481B,26.27
PEP.F,"PepsiCo, Inc.",169.98,+1.78,+1.06%,103,271,234.18B,38.20
PEP.DE,"PepsiCo, Inc.",168.90,+0.28,+0.17%,"1,098","1,088",232.692B,38.04
LORA.F,L'Oréal S.A.,84.50,+5.00,+6.29%,24,7,226.116B,38.94
4AB0.F,AbbVie Inc.,13.70,-0.30,-2.14%,139,0,218.004B,3.60
RHO6.F,Roche Holding AG,34.60,-0.42,-1.19%,11,56,221.642B,17.30
LOR.F,L'Oréal S.A.,409.75,-1.60,-0.39%,59,405,220.739B,39.06
LOR.DE,L'Oréal S.A.,407.95,-3.40,-0.83%,315,443,220.428B,39.34
CTO0.F,Costco Wholesale Corporation,17.10,+0.10,+0.59%,20,0,217.822B,1.36
AHLA.F,Alibaba Group Holding Limited,84.10,+1.65,+2.00%,"3,401","2,572",220.131B,23.56
4AB.F,AbbVie Inc.,124.70,-1.60,-1.27%,410,275,220.007B,31.65
4AB.DE,AbbVie Inc.,124.40,-2.60,-2.05%,"1,254",695,219.478B,31.57
2RR.F,Alibaba Group Holding Limited,10.60,+0.56,+5.53%,"1,322","2,644",218.815B,24.10
ADB.F,Adobe Inc.,451.90,+9.50,+2.15%,837,929,208.257B,47.97
AHLA.DE,Alibaba Group Holding Limited,83.70,+1.60,+1.95%,"54,351","56,380",217.716B,23.45
ZEG.F,AstraZeneca PLC,137.45,+1.60,+1.18%,22,317,213.03B,49.09
CTO.F,Costco Wholesale Corporation,484.90,+3.40,+0.71%,138,9,218.076B,38.73
ADB.DE,Adobe Inc.,446.20,+1.10,+0.25%,"2,050","1,414",204.672B,46.19
ZEG.DE,AstraZeneca PLC,136.45,+1.55,+1.15%,"3,132","3,900",211.48B,48.56
SSUN.SG,"Samsung Electronics Co., Ltd.","1,088.00",-6.00,-0.55%,33,30,326.831B,6.97
ICKB.F,Industrial and Commercial Bank of China Limited,9.50,-0.10,-1.04%,80,3,211.632B,3.70
NCB0.F,Bank of America Corporation,10.60,-0.20,-1.85%,26,3,211.113B,3.33
HMI.F,Hermès International Société en commandite par actions,"1,963.00",-14.60,-0.74%,63,50,210.936B,63.10
ZEGA.F,AstraZeneca PLC,66.50,-1.00,-1.48%,142,22,206.133B,47.50
BHP.F,BHP Group Limited,58.20,+0.80,+1.39%,80,48,209.444B,8.74
TOMA.F,Toyota Motor Corporation,154.00,+1.00,+0.65%,70,4,208.725B,11.96
TOM.F,Toyota Motor Corporation,15.17,+0.07,+0.44%,"7,321","2,718",207.88B,12.23
BHP1.F,BHP Group Limited,29.12,+0.12,+0.41%,"8,049","5,433",207.419B,8.74
WX8.F,"WuXi AppTec Co., Ltd.",8.30,+0.35,+4.40%,133,3,206.615B,2.72
PFE.DE,Pfizer Inc.,36.30,-0.25,-0.68%,"25,649","25,532",204.925B,7.84
PFE.F,Pfizer Inc.,36.25,-0.25,-0.68%,"4,780","4,536",204.642B,7.86
1TY.DE,Prosus N.V.,68.89,+1.19,+1.76%,"4,173","1,785",204.26B,19.08
1TY.F,Prosus N.V.,69.16,+2.11,+3.15%,7,254,204.135B,19.21
ICK.F,Industrial and Commercial Bank of China Limited,0.4900,-0.0100,-2.00%,"11,000","8,770",204.103B,3.77
1YL.F,Prosus N.V.,13.60,+0.20,+1.49%,25,11,203.713B,18.89
HMIA.SG,Hermès International Société en commandite par actions,194.00,-1.00,-0.51%,0,0,203.147B,61.78
HMIA.F,Hermès International Société en commandite par actions,194.00,0.00,0.00%,4,1,202.804B,60.62
PFEB.F,Pfizer Inc.,12.70,-0.40,-3.05%,185,68,199.666B,2.66
MDO0.F,McDonald's Corporation,18.20,+0.40,+2.25%,421,34,199.579B,2.12
LFL.F,LATAM Airlines Group S.A.,0.3300,-0.0580,-14.95%,"2,600","5,594",199.465B,5.50
CIS.F,"Cisco Systems, Inc.",47.50,+0.29,+0.62%,630,"1,561",198.149B,18.70
CIS.DE,"Cisco Systems, Inc.",47.15,+0.16,+0.33%,"9,937","7,136",196.923B,18.56
MDO.F,McDonald's Corporation,267.80,+2.00,+0.75%,63,340,196.661B,31.10
MDO.DE,McDonald's Corporation,267.00,+0.60,+0.23%,969,"1,565",195.632B,31.05
FOO0.F,"Salesforce, Inc.",11.60,0.00,0.00%,950,37,194.497B,34.12
CIS0.F,"Cisco Systems, Inc.",17.60,0.00,0.00%,110,16,193.556B,6.72
RLI.F,Rolinco N.V.,57.00,0.00,0.00%,150,116,192.831B,26.91
NOTA.F,Novartis AG,90.20,-1.00,-1.10%,58,63,191.189B,29.48
R6C0.F,Shell plc,27.77,+0.18,+0.65%,"9,444","13,879",189.545B,4.83
NFC1.F,"Netflix, Inc.",12.10,+0.10,+0.83%,30,6,189.411B,1.40
CSA.F,Accenture plc,295.00,+3.50,+1.20%,534,221,186.782B,29.32
NFC.DE,"Netflix, Inc.",407.15,-0.65,-0.16%,"6,298","4,153",188.644B,47.45
R6C0.DE,Shell plc,27.64,+0.31,+1.12%,"260,529","71,631",188.623B,4.90
