Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
09. Aug 2010,Delisted (Privatplatzierung),Alumifuel Power International Inc., -kein-,None,None," € 0,50 "," € 22.484.500,00"
06. Aug 2010,Delisted (Neuemission),KINGHERO AG, Konsumgüter," € 15,00 "," € 91.875.000,00"," € 15,00 "," € 91.875.000,00"
05. Aug 2010,Delisted (Privatplatzierung),Aquila Vision PLC, -kein-,None,None," € 0,75 "," € 13.125.000,00"
05. Aug 2010,Delisted (Privatplatzierung),Terra Resources PLC, -kein-,None,None," € 2,25 "," € 5.007.600,00"
05. Aug 2010,Delisted (Privatplatzierung),ROK Global PLC, -kein-,None,None," € 0,53 "," € 1.192.500,00"
28. Jul 2010,Delisted (Notierungsaufnahme),China Zongbao Clean Tech Ltd., -kein-,None,None," € 1,05 "," € 38.272.500,00"
28. Jul 2010,Delisted (Notierungsaufnahme),Qeteras Ltd., -kein-,None,None,None,None
26. Jul 2010,Delisted (Notierungsaufnahme),Pure Biogas Solutions PLC, -kein-,None,None," € 1,00 "," € 25.000.234,00"
16. Jul 2010,Delisted (Notierungsaufnahme),Produced Water Solutions PLC, -kein-,None,None," € 1,50 "," € 37.500.000,00"
15. Jul 2010,Delisted (Notierungsaufnahme),German Brands PLC, -kein-,None,None," € 0,00 "," € 25.000,00"
15. Jul 2010,Prime Standard (Neuemission),Ströer SE & Co. KGaA, Medien," € 20,60 "," € 867.223.703,00"," € 20,60 "," € 867.223.703,00"
09. Jul 2010,Delisted (Transfer),S.A.G. Solarstrom Aktiengesellschaft, Industrie,None,None,None,None
07. Jul 2010,Basic Board (Neuemission),Tonkens Agrar AG, Nahrungsmittel," € 24,00 "," € 34.368.000,00"," € 24,00 "," € 34.368.000,00"
07. Jul 2010,Delisted (Notierungsaufnahme),Cheung Wing Biotechnology Company Ltd., -kein-,None,None," € 0,01 "," € 130.000,00"
06. Jul 2010,Delisted (Privatplatzierung),Firmitas Capital Inc., -kein-,None,None," € 3,08 "," € 3.080.000,00"
01. Jul 2010,Delisted (Notierungsaufnahme),MOWJOW PLC, -kein-,None,None," € 0,99 "," € 23.774.850,00"
29. Jun 2010,Delisted (Notierungsaufnahme),Viridis Technologies Inc., -kein-,None,None," € 1,25 "," € 20.758.750,00"
29. Jun 2010,Delisted (Notierungsaufnahme),MCW Energy Group Ltd., -kein-,None,None," € 0,55 "," € 68.750.000,00"
28. Jun 2010,Delisted (Privatplatzierung),Seesmart Holdings Inc., -kein-,None,None," € 2,00 "," € 820.896,00"
25. Jun 2010,Delisted (Notierungsaufnahme),HessGen Canada Inc., -kein-,None,None," € 2,00 "," € 120.000.000,00"
22. Jun 2010,Delisted (Notierungsaufnahme),iVegas Gaming Ltd., -kein-,None,None," € 0,89 "," € 356.000,00"
11. Jun 2010,Delisted (Notierungsaufnahme),Standard Gold Mines PLC, -kein-,None,None," € 1,45 "," € 62.718.590,00"
09. Jun 2010,Delisted (Notierungsaufnahme),BRAC SYSTEMS INC., -kein-,None,None," € 0,36 "," € 10.800.000,00"
08. Jun 2010,Delisted (Notierungsaufnahme),Big Rock Resources Inc., -kein-,None,None," € 1,00 "," € 1.133.333,00"
08. Jun 2010,Delisted (Notierungsaufnahme),TrafAir Capital AG, -kein-,None,None," € 25,00 "," € 25.000.000,00"
07. Jun 2010,Delisted (Notierungsaufnahme),Dynamic Systems Holdings Inc., -kein-,None,None," € 3,50 "," € 28.198.335,00"
03. Jun 2010,Delisted (Notierungsaufnahme),Chelsea Management Partners PLC, -kein-,None,None," € 0,70 "," € 17.500.000,00"
02. Jun 2010,Delisted (Notierungsaufnahme),Terra Sun Ltd., -kein-,None,None,None,None
31. Mai 2010,Delisted (Notierungsaufnahme),Apollo Bell International Plc, -kein-,None,None," € 2,75 "," € 68.750.000,00"
28. Mai 2010,Delisted (Notierungsaufnahme),Viridax Corp., -kein-,None,None," € 1,00 "," € 350.100,00"
28. Mai 2010,Delisted (Notierungsaufnahme),PS Vermögensverwaltung AG, -kein-,None,None," € 1,00 "," € 400.000,00"
28. Mai 2010,Delisted (Notierungsaufnahme),HQ LIFE AG, -kein-,None,None," € 1,00 "," € 400.000,00"
27. Mai 2010,Delisted (Neuemission),Deutsche Biotech Innovativ AG, -kein-,None,None," € 7,55 "," € 1.887.500,00"
27. Mai 2010,Scale (Privatplatzierung),Deutsche Rohstoff AG, Energie & Rohstoffe,None,None," € 10,35 "," € 41.737.617,00"
26. Mai 2010,Delisted (Neuemission),Euro Asia Premier Real Estate Company Limited, Finanzdienstleistung," € 5,50 "," € 60.500.000,00"," € 5,50 "," € 60.500.000,00"
20. Mai 2010,Delisted (Notierungsaufnahme),Speciality Union Products PLC, -kein-,None,None," € 1,00 "," € 1.500.000,00"
20. Mai 2010,Delisted (Privatplatzierung),Grid Content Group AG, -kein-,None,None," € 3,15 "," € 10.492.215,00"
20. Mai 2010,Delisted (Notierungsaufnahme),International Solar Systems PLC, -kein-,None,None," € 0,55 "," € 825.000,00"
20. Mai 2010,Delisted (Notierungsaufnahme),TOPMAC HOLDINGS PLC, -kein-,None,None," € 1,68 "," € 42.000.000,00"
12. Mai 2010,Delisted (Notierungsaufnahme),PCG President Corporate Group Ltd., -kein-,None,None," € 1,25 "," € 898.750,00"
12. Mai 2010,Delisted (Privatplatzierung),Grünergy Technologies PLC, -kein-,None,None," € 0,50 "," € 1.127.600,00"
11. Mai 2010,Delisted (Notierungsaufnahme),North Thunder Bay Mining Co. Ltd., -kein-,None,None," € 0,90 "," € 405.000,00"
10. Mai 2010,Delisted (Notierungsaufnahme),Apollo Capital Group Inc., -kein-,None,None," € 0,80 "," € 13.315.727,00"
07. Mai 2010,Delisted (Notierungsaufnahme),Visisys Holdings PLC, -kein-,None,None," € 0,45 "," € 22.500.000,00"
05. Mai 2010,Delisted (Notierungsaufnahme),Prairie West Oil & Gas Ltd, -kein-,None,None," € 0,70 "," € 11.049.917,00"
05. Mai 2010,Delisted (Notierungsaufnahme),Devonhill Technology Partners PLC, -kein-,None,None," € 0,45 "," € 37.935.000,00"
04. Mai 2010,Delisted (Privatplatzierung),Snuko PLC, -kein-,None,None," € 1,28 "," € 40.000.000,00"
04. Mai 2010,Delisted (Privatplatzierung),Greencell Technologies Inc., -kein-,None,None," € 0,70 "," € 10.990.000,00"
30. Apr 2010,Delisted (Notierungsaufnahme),Fashion TV Holding Ltd., -kein-,None,None," € 23,00 "," € 120.916.980,00"
30. Apr 2010,Delisted (Notierungsaufnahme),Globalm-Group PLC, -kein-,None,None," € 1,05 "," € 31.500.000,00"
28. Apr 2010,Delisted (Notierungsaufnahme),Texcan Capital Inc., -kein-,None,None," € 0,25 "," € 4.793.750,00"
22. Apr 2010,Delisted (Notierungsaufnahme),Cobram Oil PLC, -kein-,None,None," € 1,80 "," € 9.000.000,00"
20. Apr 2010,Delisted (Notierungsaufnahme),Sapphire Capital PLC, -kein-,None,None," € 1,52 "," € 38.000.000,00"
12. Apr 2010,Delisted (Notierungsaufnahme),Kampac International PLC, -kein-,None,None," € 2,50 "," € 2.500.000.000,00"
12. Apr 2010,Delisted (Notierungsaufnahme),Resos Pharma PLC, -kein-,None,None," € 1,49 "," € 3.360.248,00"
12. Apr 2010,Delisted (Notierungsaufnahme),Blackwood Global Resources PLC, -kein-,None,None," € 1,49 "," € 3.360.248,00"
09. Apr 2010,Delisted (Notierungsaufnahme),Greenvironment PLC, -kein-,None,None," € 0,60 "," € 4.377.300,00"
08. Apr 2010,Delisted (Notierungsaufnahme),High Win PLC Inc., -kein-,None,None," € 0,20 "," € 2.000.000,00"
07. Apr 2010,Delisted (Notierungsaufnahme),Telecorp Inc., -kein-,None,None," € 0,75 "," € 15.000.000,00"
06. Apr 2010,Delisted (Notierungsaufnahme),West African Gold Resources Mining Inc., -kein-,None,None," € 4,50 "," € 23.625.000,00"
31. Mär 2010,General Standard (Transfer),KHD Humboldt Wedag International AG, Bauindustrie,None,None,None,None
30. Mär 2010,Delisted (Neuemission),Joyou AG, Konsumgüter," € 14,75 "," € 353.520.507,00"," € 14,75 "," € 353.520.507,00"
30. Mär 2010,Delisted (Privatplatzierung),Lambda TD Software Inc., -kein-,None,None," € 0,53 "," € 18.550.000,00"
29. Mär 2010,Prime Standard (Neuemission),Brenntag SE, Industrie," € 51,10 "," € 2.631.650.000,00"," € 51,10 "," € 2.631.650.000,00"
26. Mär 2010,Delisted (Neuemission),TOM TAILOR Holding SE, Konsumgüter," € 13,00 "," € 214.866.197,00"," € 13,00 "," € 214.866.197,00"
26. Mär 2010,Delisted (Notierungsaufnahme),Dub Oil PLC, -kein-,None,None," € 2,50 "," € 12.500.000,00"
23. Mär 2010,Delisted (Notierungsaufnahme),PARKERMEDIA AG, -kein-,None,None," € 1,05 "," € 8.739.460,80"
22. Mär 2010,Delisted (Neuemission),Kabel Deutschland Holding AG, Medien," € 22,50 "," € 2.025.000.000,00"," € 22,50 "," € 2.025.000.000,00"
18. Mär 2010,Delisted (Notierungsaufnahme),Rebootizer Group PLC, -kein-,None,None," € 0,94 "," € 141.000.001,00"
12. Mär 2010,Delisted (Notierungsaufnahme),Idea Fabrik PLC, -kein-,None,None," € 2,60 "," € 104.000.000,00"
12. Mär 2010,Delisted (Notierungsaufnahme),Greenwave Bio Ltd., -kein-,None,None," € 2,00 "," € 41.000.000,00"
11. Mär 2010,Delisted (Notierungsaufnahme),Gaiacor International PLC, -kein-,None,None," € 1,20 "," € 19.703.286,00"
10. Mär 2010,Delisted (Privatplatzierung),Ridgeback Global Resources PLC, -kein-,None,None," € 0,01 "," € 6.317.025,00"
09. Mär 2010,Delisted (Notierungsaufnahme),Alta Aerial PLC, -kein-,None,None," € 3,10 "," € 62.000.000,00"
08. Mär 2010,Delisted (Notierungsaufnahme),Bolser PLC, -kein-,None,None," € 1,00 "," € 1.033.000,00"
