Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
08. Feb 2023,Prime Standard (Neuemission),IONOS Group SE, Software," € 18,40 "," € 2.576.000.000,00"," € 18,40 "," € 2.576.000.000,00"
11. Nov 2022,Scale (Notierungsaufnahme),Cantourage Group SE, Pharma & Gesundheit,None,None," € 6,48 "," € 80.789.263,92"
29. Sep 2022,Prime Standard (Neuemission),Dr. Ing. h.c. F. Porsche AG, Automobil," € 84,00 "," € 76.524.000.000,00"," € 84,00 "," € 76.524.000.000,00"
15. Jul 2022,Prime Standard (Notierungsaufnahme),"ADTRAN Holdings, Inc.", Technologie,None,None," € 19,566 "," € 1.705.349.765,60"
01. Jun 2022,General Standard (Privatplatzierung),SMG European Recovery SPAC SE, Finanzdienstleistung," € 10,00 "," € 143.750.000,00"," € 10,00 "," € 143.750.000,00"
03. Mai 2022,Scale (Neuemission),EV Digital Invest AG, Finanzdienstleistung," € 13,97 "," € 62.166.500,00"," € 13,97 "," € 62.166.500,00"
13. Apr 2022,Scale (Dual Listing),beaconsmind AG, Software,None,None," € 12,00 "," € 25.306.608,00"
30. Mär 2022,Scale (Dual Listing),Pyrum Innovations AG, Industrie,None,None," € 97,10 "," € 315.937.668,50"
03. Mär 2022,Scale (Notierungsaufnahme),Advanced Blockchain AG, Software,None,None," € 13,50 "," € 50.945.328,00"
15. Feb 2022,Prime Standard (Dual Listing),Vulcan Energy Resources Limited, Chemie,None,None," € 5,65 "," € 743.794.758,50"
20. Jan 2022,General Standard (Privatplatzierung),468 SPAC II SE, Finanzdienstleistung," € 9,99 "," € 209.790.000,00"," € 9,99 "," € 209.790.000,00"
10. Dez 2021,Prime Standard (Notierungsaufnahme),Daimler Truck Holding AG, Industrie,None,None," € 28,00 "," € 23.042.652.696,00"
22. Nov 2021,Prime Standard (Dual Listing),Allterco JSCo, Technologie,None,None," € 14,50 "," € 260.999.985,50"
12. Nov 2021,Prime Standard (Notierungsaufnahme),The Social Chain AG, Medien,None,None," € 54,00 "," € 620.570.322,00"
10. Nov 2021,Scale (Neuemission),Veganz Group AG, Nahrungsmittel," € 86,90 "," € 106.313.373,00"," € 86,90 "," € 106.313.373,00"
20. Okt 2021,Prime Standard (Transfer),Mutares SE & Co. KGaA, Finanzdienstleistung,None,None," € 22,35 ", -
19. Okt 2021,General Standard (Privatplatzierung),learnd SE, Software," € 9,99 "," € 149.850.000,00"," € 9,99 "," € 149.850.000,00"
16. Sep 2021,Prime Standard (Notierungsaufnahme),Vitesco Technologies Group AG, Automobil,None,None," € 59,80 "," € 2.393.267.520,80"
19. Jul 2021,Prime Standard (Privatplatzierung),Novem Group S.A., Automobil," € 16,50 "," € 710.000.000,00"," € 16,50 "," € 710.000.000,00"
02. Jul 2021,Prime Standard (Neuemission),Mister Spex SE, Handel," € 25,38 "," € 867.184.702,92"," € 25,38 "," € 867.184.702,92"
29. Jun 2021,Prime Standard (Neuemission),Cherry SE, Technologie," € 32,00 "," € 777.600.000,00"," € 32,00 "," € 777.600.000,00"
25. Jun 2021,Prime Standard (Privatplatzierung),BIKE24 Holding AG, Handel," € 15,30 "," € 675.749.989,80"," € 15,30 "," € 675.749.989,80"
16. Jun 2021,Prime Standard (Privatplatzierung),ABOUT YOU Holding SE, Handel," € 25,60 "," € 4.765.529.267,20"," € 25,60 "," € 4.765.529.267,20"
21. Mai 2021,Prime Standard (Neuemission),hGears AG, Automobil," € 27,50 "," € 286.000.000,00"," € 27,50 "," € 286.000.000,00"
19. Mai 2021,Prime Standard (Neuemission),SUSE S.A., Software," € 29,50 "," € 4.964.850.000,00"," € 29,50 "," € 4.964.850.000,00"
19. Mai 2021,General Standard (Notierungsaufnahme),Linus Digital Finance AG, Finanzdienstleistung,None,None," € 27,60 "," € 167.163.981,60"
11. Mai 2021,Scale (Neuemission),APONTIS PHARMA AG, Pharma & Gesundheit," € 18,90 "," € 160.650.000,00"," € 18,90 "," € 160.650.000,00"
04. Mai 2021,Prime Standard (Neuemission),KATEK SE, Technologie," € 27,90 "," € 369.448.452,00"," € 27,90 "," € 369.448.452,00"
04. Mai 2021,Delisted (Privatplatzierung),OboTech Acquisition SE, Finanzdienstleistung," € 10,00 "," € 253.250.000,00"," € 10,00 "," € 253.250.000,00"
30. Apr 2021,Prime Standard (Neuemission),SYNLAB AG, Pharma & Gesundheit," € 18,00 "," € 4.000.000.000,00"," € 18,00 "," € 4.000.000.000,00"
30. Apr 2021,Prime Standard (Privatplatzierung),tonies SE, Konsumgüter," € 9,79 "," € 365.625.000,00"," € 9,79 "," € 365.625.000,00"
25. Mär 2021,Prime Standard (Neuemission),Friedrich Vorwerk Group SE, Industrie," € 46,88 "," € 937.600.000,00"," € 46,88 "," € 937.600.000,00"
18. Mär 2021,Delisted (Neuemission),Vantage Towers AG, Telekommunikation," € 24,80 "," € 12.543.400.172,00"," € 24,80 "," € 12.543.400.172,00"
22. Feb 2021,General Standard (Privatplatzierung),HomeToGo SE, Finanzdienstleistung," € 11,15 "," € 306.625.000,00"," € 11,15 "," € 306.625.000,00"
04. Feb 2021,Prime Standard (Neuemission),AUTO1 Group SE, Handel," € 55,00 "," € 10.968.866.700,00"," € 55,00 "," € 10.968.866.700,00"
16. Dez 2020,Prime Standard (Notierungsaufnahme),Nagarro SE, Software,None,None," € 69,00 "," € 785.393.397,00"
30. Okt 2020,General Standard (Transfer),FCR Immobilien AG, Finanzdienstleistung,None,None," € 11,20 "," € 102.439.724,80"
29. Okt 2020,Scale (Neuemission),fashionette AG, Handel," € 29,00 "," € 179.800.000,00"," € 29,00 "," € 179.800.000,00"
26. Okt 2020,Prime Standard (Transfer),flatexDEGIRO AG, Finanzdienstleistung,None,None," € 42,80 "," € 1.192.264.063,60"
21. Okt 2020,Prime Standard (Neuemission),Compleo Charging Solutions AG, Industrie," € 44,00 "," € 150.633.120,00"," € 44,00 "," € 150.633.120,00"
28. Sep 2020,Prime Standard (Notierungsaufnahme),Siemens Energy AG, Industrie,None,None," € 22,01 "," € 15.993.460.697,93"
25. Sep 2020,Prime Standard (Neuemission),HENSOLDT AG, Technologie," € 12,00 "," € 1.260.000.000,00"," € 12,00 "," € 1.260.000.000,00"
23. Sep 2020,Prime Standard (Neuemission),Knaus Tabbert AG, Automobil," € 58,00 "," € 601.881.022,00"," € 58,00 "," € 601.881.022,00"
14. Jul 2020,Prime Standard (Privatplatzierung),Brockhaus Technologies AG, Technologie," € 36,55 "," € 379.637.832,00"," € 36,55 "," € 379.637.832,00"
19. Jun 2020,Prime Standard (Neuemission),PharmaSGP Holding SE, Pharma & Gesundheit," € 32,00 "," € 384.000.000,00"," € 32,00 "," € 384.000.000,00"
25. Mai 2020,Scale (Neuemission),EXASOL AG, Software," € 14,00 "," € 311.050.180,00"," € 14,00 "," € 311.050.180,00"
03. Mär 2020,General Standard (Notierungsaufnahme),PIERER Mobility AG, Automobil,None,None," € 44,60 ", -
27. Dez 2019,General Standard (Notierungsaufnahme),iQ International AG, Automobil,None,None," € 0,80 "," € 22.218.339,20"
25. Sep 2019,Prime Standard (Neuemission),TeamViewer SE, Software," € 26,25 "," € 5.250.000.000,00"," € 26,25 "," € 5.250.000.000,00"
02. Jul 2019,Prime Standard (Neuemission),Global Fashion Group S.A., Handel," € 4,47 "," € 950.452.854,78"," € 4,47 "," € 950.452.854,78"
28. Jun 2019,Prime Standard (Dual Listing),TRATON SE, Industrie," € 27,00 "," € 13.500.000.000,00"," € 27,00 "," € 13.500.000.000,00"
14. Mai 2019,General Standard (Dual Listing),Frequentis AG, Technologie," € 17,90 "," € 236.280.000,00"," € 17,90 "," € 236.280.000,00"
10. Mai 2019,Prime Standard (Transfer),STEMMER IMAGING AG, Software,None,None," € 26,40 "," € 171.600.000,00"
12. Apr 2019,Prime Standard (Notierungsaufnahme),Gateway Real Estate AG, Finanzdienstleistung,None,None," € 4,20 "," € 784.408.968,00"
26. Mär 2019,General Standard (Notierungsaufnahme),RAVENO Capital AG, Bauindustrie,None,None," € 4,50 "," € 180.000.000,00"
15. Jan 2019,General Standard (Transfer),ERWE Immobilien AG, Finanzdienstleistung,None,None," € 2,98 "," € 49.357.507,56"
19. Dez 2018,Delisted (Notierungsaufnahme),Deutsche Industrie REIT-AG, Finanzdienstleistung,None,None," € 11,45 "," € 257.625.824,40"
04. Dez 2018,Prime Standard (Neuemission),DFV Deutsche Familienversicherung AG, Versicherungen," € 12,30 "," € 156.872.662,50"," € 12,30 "," € 156.872.662,50"
07. Nov 2018,Scale (Notierungsaufnahme),FCR Immobilien AG, Finanzdienstleistung,None,None," € 18,00 "," € 75.952.584,00"
29. Okt 2018,Delisted (Notierungsaufnahme),Linde plc, Chemie,None,None," € 147,00 "," € 81.005.021.643,00"
24. Okt 2018,Prime Standard (Neuemission),"Haier Smart Home Co., Ltd.", Konsumgüter," € 1,06 "," € 287.274.811,38"," € 1,06 "," € 287.274.811,38"
12. Okt 2018,Prime Standard (Neuemission),Knorr-Bremse AG, Industrie," € 80,10 "," € 12.912.120.000,00"," € 80,10 "," € 12.912.120.000,00"
09. Okt 2018,Prime Standard (Neuemission),Westwing Group SE, Handel," € 26,49 "," € 526.589.934,00"," € 26,49 "," € 526.589.934,00"
31. Jul 2018,General Standard (Transfer),Ringmetall SE, Industrie,None,None," € 4,12 "," € 114.061.376,00"
27. Jul 2018,Basic Board (Notierungsaufnahme),CONSUS Real Estate AG, Finanzdienstleistung,None,None," € 7,40 "," € 590.892.834,20"
25. Jul 2018,Prime Standard (Neuemission),creditshelf Aktiengesellschaft, Finanzdienstleistung," € 80,00 "," € 106.500.000,00"," € 80,00 "," € 106.500.000,00"
29. Jun 2018,Delisted (Neuemission),AKASOL AG, Automobil," € 48,80 "," € 295.818.572,80"," € 48,80 "," € 295.818.572,80"
21. Jun 2018,General Standard (Neuemission),capsensixx AG, Finanzdienstleistung," € 16,00 "," € 54.880.000,00"," € 16,00 "," € 54.880.000,00"
15. Jun 2018,Prime Standard (Neuemission),home24 SE, Handel," € 28,50 "," € 740.337.574,50"," € 28,50 "," € 740.337.574,50"
01. Jun 2018,General Standard (Neuemission),STS Group AG, Automobil," € 24,00 "," € 144.000.000,00"," € 24,00 "," € 144.000.000,00"
11. Mai 2018,Prime Standard (Neuemission),NFON AG, Telekommunikation," € 13,00 "," € 179.488.608,00"," € 13,00 "," € 179.488.608,00"
20. Apr 2018,Prime Standard (Neuemission),Serviceware SE, Software," € 24,005 "," € 252.052.500,00"," € 24,005 "," € 252.052.500,00"
05. Apr 2018,Delisted (Neuemission),Godewind Immobilien AG, Finanzdienstleistung," € 3,60 "," € 391.500.000,00"," € 3,60 "," € 391.500.000,00"
28. Mär 2018,Scale (Neuemission),cyan AG, Software," € 23,20 "," € 194.747.597,60"," € 23,20 "," € 194.747.597,60"
23. Mär 2018,Prime Standard (Neuemission),DWS Group GmbH & Co. KGaA, Finanzdienstleistung," € 32,55 "," € 6.510.000.000,00"," € 32,55 "," € 6.510.000.000,00"
16. Mär 2018,Prime Standard (Neuemission),Siemens Healthineers AG, Pharma & Gesundheit," € 29,10 "," € 29.100.000.000,00"," € 29,10 "," € 29.100.000.000,00"
27. Feb 2018,Prime Standard (Neuemission),STEMMER IMAGING AG, Software," € 36,00 "," € 234.000.000,00"," € 36,00 "," € 234.000.000,00"
15. Feb 2018,Prime Standard (Privatplatzierung),Instone Real Estate Group SE, Finanzdienstleistung," € 21,50 "," € 795.249.224,00"," € 21,50 "," € 795.249.224,00"
09. Feb 2018,Prime Standard (Neuemission),Dermapharm Holding SE, Pharma & Gesundheit," € 28,00 "," € 1.507.520.000,00"," € 28,00 "," € 1.507.520.000,00"
03. Nov 2017,Prime Standard (Neuemission),Befesa S.A., Industrie," € 28,00 "," € 953.867.740,00"," € 28,00 "," € 953.867.740,00"
02. Nov 2017,Prime Standard (Transfer),Corestate Capital Holding S.A., Finanzdienstleistung,None,None," € 50,83 "," € 1.079.390.248,17"
02. Nov 2017,Prime Standard (Neuemission),HelloFresh SE, Handel," € 10,60 "," € 1.697.364.771,20"," € 10,60 "," € 1.697.364.771,20"
30. Okt 2017,Scale (Neuemission),Mynaric AG, Technologie," € 53,75 "," € 145.356.340,00"," € 53,75 "," € 145.356.340,00"
19. Okt 2017,Prime Standard (Neuemission),VARTA AG, Industrie," € 24,25 "," € 926.350.000,00"," € 24,25 "," € 926.350.000,00"
13. Okt 2017,Prime Standard (Neuemission),Voltabox AG, Industrie," € 30,00 "," € 474.750.000,00"," € 30,00 "," € 474.750.000,00"
20. Jul 2017,Prime Standard (Privatplatzierung),JOST Werke SE, Automobil," € 27,40 "," € 408.260.000,00"," € 27,40 "," € 408.260.000,00"
13. Jul 2017,Prime Standard (Notierungsaufnahme),METRO AG, Handel,None,None," € 20,00 "," € 7.261.945.060,00"
10. Jul 2017,Scale (Neuemission),The Naga Group AG, Finanzdienstleistung," € 3,60 "," € 75.628.972,80"," € 3,60 "," € 75.628.972,80"
30. Jun 2017,Prime Standard (Neuemission),Delivery Hero SE, Handel," € 26,90 "," € 4.626.770.410,00"," € 26,90 "," € 4.626.770.410,00"
30. Jun 2017,Scale (Neuemission),Noratis AG, Finanzdienstleistung," € 18,75 "," € 54.750.000,00"," € 18,75 "," € 54.750.000,00"
27. Jun 2017,General Standard (Neuemission),Vapiano SE, Konsumgüter," € 23,95 "," € 575.514.500,00"," € 23,95 "," € 575.514.500,00"
02. Jun 2017,Prime Standard (Transfer),Aroundtown SA, Finanzdienstleistung,None,None," € 4,62 "," € 3.942.498.155,00"
11. Mai 2017,Scale (Notierungsaufnahme),ÖKOWORLD AG, Finanzdienstleistung,None,None," € 11,291 "," € 33.385.748,19"
09. Mai 2017,Prime Standard (Transfer),Grand City Properties S.A., Finanzdienstleistung,None,None," € 18,25 "," € 2.806.647.114,75"
30. Mär 2017,Scale (Neuemission),IBU-tec advanced materials AG, Industrie," € 17,10 "," € 68.400.000,00"," € 17,10 "," € 68.400.000,00"
24. Mär 2017,Prime Standard (Neuemission),Aumann AG, Industrie," € 48,20 "," € 674.800.000,00"," € 48,20 "," € 674.800.000,00"
03. Mär 2017,Prime Standard (Dual Listing),Deutsche Konsum REIT AG, Finanzdienstleistung,None,None," € 9,00 "," € 222.842.565,00"
22. Dez 2016,Prime Standard (Notierungsaufnahme),ProCredit Holding AG & Co. KGaA, Banken,None,None," € 12,29 "," € 658.056.792,36"
12. Dez 2016,Delisted (Dual Listing),GxP German Properties AG, Finanzdienstleistung,None,None," € 0,90 "," € 62.374.116,60"
28. Nov 2016,Delisted (Dual Listing),Aves One AG, Transport & Logistik," € 6,05 "," € 53.905.500,00"," € 6,05 "," € 53.905.500,00"
22. Nov 2016,Prime Standard (Dual Listing),Medios AG, Pharma & Gesundheit,None,None," € 7,44 "," € 83.689.048,00"
13. Okt 2016,Prime Standard (Neuemission),Redcare Pharmacy N.V., Handel," € 30,05 "," € 272.549.833,90"," € 30,05 "," € 272.549.833,90"
07. Okt 2016,Delisted (Neuemission),innogy SE, Versorger," € 37,30 "," € 20.722.201.500,00"," € 37,30 "," € 20.722.201.500,00"
04. Okt 2016,Scale (Notierungsaufnahme),Corestate Capital Holding S.A., Finanzdienstleistung,None,None," € 17,40 "," € 219.425.849,40"
30. Sep 2016,Prime Standard (Neuemission),va-Q-tec AG, Industrie," € 14,00 "," € 183.253.028,00"," € 14,00 "," € 183.253.028,00"
26. Sep 2016,Prime Standard (Transfer),Rocket Internet SE, Handel,None,None,None,None
12. Sep 2016,Prime Standard (Notierungsaufnahme),Uniper SE, Versorger,None,None," € 10,015 "," € 3.665.089.400,00"
23. Aug 2016,General Standard (Notierungsaufnahme),CIECH S.A., Chemie,None,None," € 14,74 "," € 776.796.658,66"
18. Aug 2016,Basic Board (Notierungsaufnahme),Finchain Capital Partners AG, Handel,None,None," € 4,50 "," € 4.050.000,00"
12. Aug 2016,Prime Standard (Notierungsaufnahme),"Diebold Nixdorf, Incorporated", Technologie,None,None," € 25,67 "," € 2.307.925.935,72"
01. Jul 2016,Basic Board (Notierungsaufnahme),A.H.T. Syngas Technology N.V., Versorger,None,None," € 5,00 "," € 7.500.000,00"
28. Jun 2016,General Standard (Neuemission),Decheng Technology AG, Chemie," € 3,60 "," € 110.627.485,20"," € 3,60 "," € 110.627.485,20"
23. Jun 2016,Delisted (Neuemission),MyBucks S.A., Finanzdienstleistung," € 13,85 "," € 152.322.300,00"," € 13,85 "," € 152.322.300,00"
30. Mär 2016,Basic Board (Notierungsaufnahme),Clean Logistics SE, Automobil,None,None," € 20,00 "," € 24.000.000,00"
23. Mär 2016,Delisted (Privatplatzierung),Senvion S.A., Industrie," € 16,00 "," € 1.040.000.000,00"," € 16,00 "," € 1.040.000.000,00"
16. Feb 2016,General Standard (Notierungsaufnahme),SPOBAG AG, Finanzdienstleistung,None,None," € 29,00 "," € 14.500.000,00"
09. Feb 2016,Prime Standard (Neuemission),BRAIN Biotech AG, Chemie," € 9,15 "," € 150.191.284,20"," € 9,15 "," € 150.191.284,20"
07. Dez 2015,Prime Standard (Notierungsaufnahme),Steinhoff International Holdings N.V., Handel,None,None," € 5,00 "," € 19.313.193.200,00"
02. Dez 2015,Prime Standard (Neuemission),EDAG Engineering Group AG, Automobil," € 19,55 "," € 488.750.000,00"," € 19,55 "," € 488.750.000,00"
11. Nov 2015,Scale (Notierungsaufnahme),SGT German Private Equity GmbH & Co. KGaA, Finanzdienstleistung,None,None," € 2,80 "," € 31.121.300,00"
06. Nov 2015,Prime Standard (Neuemission),Hapag-Lloyd Aktiengesellschaft, Transport & Logistik," € 20,05 "," € 2.368.123.885,85"," € 20,05 "," € 2.368.123.885,85"
05. Nov 2015,Delisted (Neuemission),Steilmann SE, Konsumgüter," € 3,60 "," € 80.816.886,00"," € 3,60 "," € 80.816.886,00"
09. Okt 2015,Prime Standard (Privatplatzierung),Schaeffler AG, Automobil," € 13,50 "," € 3.025.350.000,00"," € 13,50 "," € 3.025.350.000,00"
07. Okt 2015,Delisted (Neuemission),CHORUS Clean Energy AG, Industrie," € 9,75 "," € 270.123.262,50"," € 9,75 "," € 270.123.262,50"
06. Okt 2015,Prime Standard (Neuemission),Covestro AG, Chemie," € 26,00 "," € 5.265.000.000,00"," € 26,00 "," € 5.265.000.000,00"
01. Okt 2015,Prime Standard (Neuemission),Scout24 SE, Medien," € 30,75 "," € 3.308.700.000,00"," € 30,75 "," € 3.308.700.000,00"
14. Sep 2015,Basic Board (Notierungsaufnahme),M1 Kliniken AG, Pharma & Gesundheit,None,None," € 4,70 "," € 70.500.000,00"
12. Aug 2015,Delisted (Notierungsaufnahme),Fyber N.V., Software,None,None," € 3,53 "," € 404.302.665,49"
23. Jul 2015,Prime Standard (Neuemission),ADLER Group S.A., Finanzdienstleistung," € 20,10 "," € 703.500.000,00"," € 20,10 "," € 703.500.000,00"
16. Jul 2015,Prime Standard (Neuemission),Deutsche Pfandbriefbank AG, Banken," € 11,45 "," € 1.539.742.276,60"," € 11,45 "," € 1.539.742.276,60"
03. Jul 2015,Prime Standard (Neuemission),elumeo SE, Handel," € 25,00 "," € 137.500.000,00"," € 25,00 "," € 137.500.000,00"
11. Jun 2015,Prime Standard (Neuemission),Siltronic AG, Technologie," € 31,50 "," € 945.000.000,00"," € 31,50 "," € 945.000.000,00"
08. Jun 2015,Delisted (Notierungsaufnahme),Mars One Ventures AG, Finanzdienstleistung,None,None," € 3,75 "," € 45.000.000,00"
20. Mai 2015,Delisted (Transfer),Heliocentris Energy Solutions AG, Industrie,None,None," € 5,80 "," € 82.604.951,40"
18. Mai 2015,General Standard (Notierungsaufnahme),NEXR Technologies SE, Medien,None,None," € 9,10 "," € 12.922.000,00"
07. Mai 2015,Prime Standard (Neuemission),Allane SE, Finanzdienstleistung," € 20,40 "," € 420.476.497,20"," € 20,40 "," € 420.476.497,20"
06. Mai 2015,Prime Standard (Neuemission),windeln.de SE, Handel," € 18,00 "," € 457.101.198,00"," € 18,00 "," € 457.101.198,00"
30. Apr 2015,Prime Standard (Notierungsaufnahme),ROY Asset Holding SE, Industrie,None,None," € 9,00 "," € 117.990.000,00"
02. Apr 2015,Scale (Notierungsaufnahme),publity AG, Finanzdienstleistung,None,None," € 28,50 "," € 142.500.000,00"
04. Mär 2015,Scale (Notierungsaufnahme),PANTAFLIX AG, Medien,None,None," € 9,50 "," € 9.500.000,00"
06. Feb 2015,Prime Standard (Neuemission),Multitude SE, Finanzdienstleistung," € 17,50 "," € 380.169.300,00"," € 17,50 "," € 380.169.300,00"
23. Jan 2015,Delisted (Neuemission),Tele Columbus AG, Medien," € 10,70 "," € 606.600.837,00"," € 10,70 "," € 606.600.837,00"
11. Nov 2014,Prime Standard (Privatplatzierung),HELLA GmbH & Co. KGaA, Automobil," € 27,50 "," € 3.055.555.580,00"," € 27,50 "," € 3.055.555.580,00"
06. Nov 2014,General Standard (Neuemission),Fenghua SoleTech AG, Konsumgüter," € 10,40 "," € 104.578.666,40"," € 10,40 "," € 104.578.666,40"
24. Okt 2014,Delisted (Neuemission),TLG IMMOBILIEN AG, Finanzdienstleistung," € 10,88 "," € 666.969.307,00"," € 10,88 "," € 666.969.307,00"
02. Okt 2014,Delisted (Neuemission),Rocket Internet SE, Handel," € 42,50 "," € 6.508.049.055,00"," € 42,50 "," € 6.508.049.055,00"
01. Okt 2014,Prime Standard (Neuemission),Zalando SE, Handel," € 24,10 "," € 5.898.769.574,00"," € 24,10 "," € 5.898.769.574,00"
29. Sep 2014,Delisted (Neuemission),Snowbird AG, Handel," € 6,40 "," € 202.133.337,60"," € 6,40 "," € 202.133.337,60"
18. Sep 2014,Delisted (Notierungsaufnahme),STRATEVIC FINANCE GR. AB, Software,None,None," € 3,00 "," € 1.091.249.994,00"
15. Sep 2014,Quotation Board (Transfer),Westgrund Aktiengesellschaft, Finanzdienstleistung,None,None," € 3,95 "," € 381.356.392,00"
25. Aug 2014,Delisted (Notierungsaufnahme),Xin Rui Ke (China) AG, Handel,None,None," € 9,08 "," € 164.445.156,00"
31. Jul 2014,Delisted (Notierungsaufnahme),VALENS Holding AG, Finanzdienstleistung,None,None," € 7,50 "," € 75.000.000,00"
25. Jun 2014,Delisted (Neuemission),Braas Monier Building Group S.A., Bauindustrie," € 23,40 "," € 916.500.000,00"," € 23,40 "," € 916.500.000,00"
16. Jun 2014,Delisted (Neuemission),JJ Auto AG, Automobil," € 7,30 "," € 59.131.752,00"," € 7,30 "," € 59.131.752,00"
11. Jun 2014,Delisted (Notierungsaufnahme),Rapid Nutrition PLC, Handel,None,None," € 2,90 "," € 67.246.374,50"
23. Mai 2014,Prime Standard (Neuemission),Stabilus SE, Industrie," € 22,75 "," € 471.454.074,00"," € 22,75 "," € 471.454.074,00"
09. Mai 2014,Prime Standard (Neuemission),SLM Solutions Group AG, Industrie," € 18,20 "," € 327.251.779,00"," € 18,20 "," € 327.251.779,00"
28. Apr 2014,Delisted (Neuemission),BUWOG AG, Finanzdienstleistung,None,None," € 13,00 "," € 1.294.975.227,00"
16. Apr 2014,Delisted (Notierungsaufnahme),Bancorp Wealth Management New Zealand Ltd., Banken,None,None," € 4,20 "," € 41.998.315,80"
27. Jan 2014,Delisted (Notierungsaufnahme),Tintbright AG, Konsumgüter,None,None," € 12,20 "," € 24.400.000,00"
22. Jan 2014,Delisted (Notierungsaufnahme),DO Deutsche Office AG, Finanzdienstleistung,None,None," € 3,25 "," € 435.309.371,25"
11. Okt 2013,Delisted (Notierungsaufnahme),VanCamel AG, Handel,None,None," € 2,10 "," € 31.500.000,00"
08. Okt 2013,Prime Standard (Neuemission),Bastei Lübbe AG, Medien," € 7,53 "," € 100.149.000,00"," € 7,53 "," € 100.149.000,00"
11. Jul 2013,Prime Standard (Neuemission),Vonovia SE, Finanzdienstleistung," € 17,10 "," € 3.834.545.468,00"," € 17,10 "," € 3.834.545.468,00"
08. Jul 2013,Delisted (Neuemission),OSRAM Licht AG, Industrie,None,None," € 24,00 "," € 2.512.545.600,00"
28. Jun 2013,Prime Standard (Neuemission),KION GROUP AG, Industrie," € 24,19 "," € 2.392.391.000,00"," € 24,19 "," € 2.392.391.000,00"
07. Jun 2013,Delisted (Notierungsaufnahme),Pacific Retail Merchants AG, Handel,None,None," € 2,25 "," € 14.406.766,00"
30. Apr 2013,Prime Standard (Neuemission),RTL Group S.A., Medien," € 55,50 "," € 8.590.709.247,00"," € 55,50 "," € 8.590.709.247,00"
25. Apr 2013,Prime Standard (Notierungsaufnahme),Evonik Industries AG, Chemie,None,None," € 33,00 "," € 15.378.000.000,00"
06. Mär 2013,Delisted (Notierungsaufnahme),Management Resource Solutions PLC, Industrie,None,None," € 1,40 "," € 42.560.000,00"
01. Feb 2013,Prime Standard (Neuemission),LEG Immobilien SE, Finanzdienstleistung," € 44,50 "," € 2.356.873.258,00"," € 44,50 "," € 2.356.873.258,00"
20. Nov 2012,Basic Board (Notierungsaufnahme),Fast Finance 24 Holding AG, Industrie,None,None," € 4,05 "," € 20.876.316,30"
12. Nov 2012,Delisted (Neuemission),Firstextile AG, Konsumgüter," € 10,00 "," € 118.000.000,00"," € 10,00 "," € 118.000.000,00"
30. Okt 2012,Prime Standard (Neuemission),Telefónica Deutschland Holding AG, Telekommunikation," € 5,70 "," € 6.366.588.780,00"," € 5,70 "," € 6.366.588.780,00"
25. Okt 2012,Delisted (Neuemission),Hess AG, Bauindustrie," € 15,60 "," € 81.380.005,20"," € 15,60 "," € 81.380.005,20"
02. Okt 2012,Prime Standard (Neuemission),Talanx Aktiengesellschaft, Versicherungen," € 19,05 "," € 4.812.519.242,00"," € 19,05 "," € 4.812.519.242,00"
25. Sep 2012,General Standard (Transfer),PEARL GOLD AG, Finanzdienstleistung,None,None,None,None
04. Sep 2012,Delisted (Transfer),n.runs AG, Software,None,None,None,None
03. Sep 2012,Prime Standard (Dual Listing),Biofrontera AG, Pharma & Gesundheit,None,None,None,None
09. Jul 2012,Delisted (Neuemission),FAST Casualwear AG, Konsumgüter," € 5,00 "," € 56.600.000,00"," € 5,00 "," € 56.600.000,00"
06. Jul 2012,General Standard (Neuemission),Ming Le Sports AG, Konsumgüter," € 13,20 "," € 203.860.800,00"," € 13,20 "," € 203.860.800,00"
03. Jul 2012,Delisted (Neuemission),LOTTO24 AG, Handel," € 3,00 "," € 41.921.712,00"," € 3,00 "," € 41.921.712,00"
29. Jun 2012,Basic Board (Notierungsaufnahme),Ichor Coal N.V., Energie & Rohstoffe,None,None," € 3,873 "," € 193.650.000,00"
29. Jun 2012,Basic Board (Privatplatzierung),Auden AG, Konsumgüter,None,None," € 2,48 "," € 15.479.078,72"
29. Jun 2012,Delisted (Neuemission),KTG Energie AG, Industrie," € 14,10 "," € 84.600.000,00"," € 14,10 "," € 84.600.000,00"
29. Jun 2012,Delisted (Notierungsaufnahme),biolitec AG, Pharma & Gesundheit,None,None,None,None
21. Jun 2012,Delisted (Neuemission),VSG Vange Software Group AG, Software," € 26,10 "," € 107.095.478,00"," € 26,10 "," € 107.095.478,00"
05. Jun 2012,Quotation Board (Dual Listing),Prima Biomed Ltd., Pharma & Gesundheit,None,None," € 3,30 "," € 3.237.352.800,00"
28. Mai 2012,Prime Standard (Privatplatzierung),Grand City Properties S.A., Finanzdienstleistung,None,None," € 3,00 "," € 150.000.000,00"
25. Mai 2012,Delisted (Notierungsaufnahme),FilmConfect AG, Medien,None,None," € 1,00 "," € 868.481,00"
18. Mai 2012,Delisted (Neuemission),Goldrooster AG, Konsumgüter," € 4,10 "," € 84.952.845,00"," € 4,10 "," € 84.952.845,00"
15. Mai 2012,Delisted (Neuemission),Haikui Seafood AG, Nahrungsmittel," € 10,00 "," € 102.760.000,00"," € 10,00 "," € 102.760.000,00"
