NNW.F,Naspers Limited,159.00,0.00,0.00%,63,52,34.247B,10.88
ERT.F,Electronic Arts Inc.,117.44,-0.30,-0.25%,175,29,32.22B,43.50
5KBA.F,Telstra Group Limited,2.7200,-0.0200,-0.73%,250,"1,367",31.874B,27.20
5KB.F,Telstra Group Limited,13.30,-0.10,-0.75%,10,0,31.643B,27.14
5Y0.F,Kuaishou Technology,6.90,-0.18,-2.60%,537,332,30.396B,N/A
SIT.F,Singapore Telecommunications Limited,17.40,+0.30,+1.75%,11,0,29.228B,18.71
CHWD.F,"Chunghwa Telecom Co., Ltd.",37.20,-0.40,-1.06%,124,2,28.88B,25.66
J5A.F,"Warner Bros. Discovery, Inc.",11.81,-0.17,-1.42%,306,917,28.783B,N/A
SIT4.F,Singapore Telecommunications Limited,1.7350,+0.0250,+1.46%,"4,212","1,389",28.646B,17.35
J5A.DE,"Warner Bros. Discovery, Inc.",11.69,-0.30,-2.50%,"5,824","2,577",28.478B,N/A
639.F,Spotify Technology S.A.,144.00,+4.80,+3.45%,20,59,28.044B,N/A
FTE.DE,Orange S.A.,10.40,-0.02,-0.15%,"3,782","7,931",27.66B,14.05
FTE.F,Orange S.A.,10.38,+0.06,+0.54%,860,"4,174",27.612B,14.22
FTE1.F,Orange S.A.,10.20,+0.10,+0.99%,300,71,27.363B,13.97
DD2.SG,"DoorDash, Inc.",66.50,+1.00,+1.53%,0,0,26.345B,N/A
DD2.F,"DoorDash, Inc.",66.50,+1.50,+2.31%,80,4,26.144B,N/A
BCZ.F,TELUS Corporation,17.80,+0.30,+1.71%,4,40,26.106B,25.43
TCID.F,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,0.2300,-0.0040,-1.71%,107,666,24.055B,23.00
PTI.F,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,24.20,0.00,0.00%,200,10,23.973B,18.47
VODJ.F,Vodafone Group Public Limited Company,8.55,+0.20,+2.40%,360,85,23.525B,2.03
VODI.F,Vodafone Group Public Limited Company,0.8685,-0.0015,-0.17%,"67,306","120,177",23.445B,2.02
RCIB.F,Rogers Communications Inc.,40.20,-0.20,-0.50%,600,10,21.616B,16.28
TKE.DE,"Take-Two Interactive Software, Inc.",126.18,+0.38,+0.30%,1,47,21.448B,N/A
TKE.F,"Take-Two Interactive Software, Inc.",124.40,-0.38,-0.30%,245,133,21.25B,N/A
