Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
SII.F,Wheaton Precious Metals Corp.,41.05,+0.25,+0.61%,315,578,18.589B,31.82
IFF.F,International Flavors & Fragrances Inc.,72.40,+0.40,+0.56%,150,42,18.469B,N/A
NPSA.F,Nippon Steel Corporation,6.15,-0.10,-1.60%,"6,000",0,17.834B,4.30
NPS.F,Nippon Steel Corporation,19.08,-0.23,-1.21%,411,18,17.775B,4.42
39E0.F,"Ganfeng Lithium Group Co., Ltd.",6.45,+0.10,+1.57%,150,5,16.947B,5.20
HWHG.F,Tata Steel Limited,12.60,+0.30,+2.44%,11,101,16.231B,16.80
SD5.F,"Steel Dynamics, Inc.",95.87,+0.08,+0.08%,145,50,16.205B,5.15
39EA.SG,"Ganfeng Lithium Group Co., Ltd.",6.50,+0.04,+0.62%,0,"1,401",16.603B,5.24
39EA.F,"Ganfeng Lithium Group Co., Ltd.",6.54,+0.00,+0.06%,"4,342","1,370",16.507B,5.27
RPL.F,UPM-Kymmene Oyj,29.61,+0.39,+1.33%,250,763,15.792B,9.97
IZ1.F,First Quantum Minerals Ltd.,22.58,+1.27,+5.96%,259,62,15.772B,22.58
D7N.F,CMOC Group Limited,0.5258,+0.0092,+1.78%,"43,500","4,568",15.003B,17.53
NMA.F,Newcrest Mining Limited,16.36,+0.25,+1.53%,269,"1,050",14.807B,17.98
NMAA.F,Newcrest Mining Limited,16.30,+0.20,+1.24%,26,90,14.722B,17.34
RPHA.F,Anglo American Platinum Limited,53.80,-0.20,-0.37%,25,137,14.475B,5.80
RPH1.F,Anglo American Platinum Limited,8.85,-0.05,-0.56%,340,123,14.421B,5.86
CNS.SG,China Steel Corporation,17.30,-0.20,-1.14%,0,0,13.664B,72.08
RS6.F,Reliance Steel & Aluminum Co.,232.00,-2.00,-0.85%,8,0,13.64B,8.61
NOHA.F,Norsk Hydro ASA,6.20,0.00,0.00%,"5,654",202,13.628B,8.05
HEI.DE,Heidelberg Materials AG,71.86,-0.64,-0.88%,70.298k,"456,361",13.617B,8.62
HEI.F,Heidelberg Materials AG,71.84,-0.58,-0.80%,300,558,13.591B,8.57
UEO.F,Westlake Corporation,105.00,0.00,0.00%,5,2,13.58B,7.98
HEIU.SG,Heidelberg Materials AG,14.10,0.00,0.00%,0,8,13.435B,8.34
SY1.F,Symrise AG,95.96,+0.82,+0.86%,100,208,13.413B,47.04
HEIU.F,Heidelberg Materials AG,14.40,-0.10,-0.69%,40,16,13.405B,8.37
SY1.DE,Symrise AG,95.18,+0.02,+0.02%,100.570k,"356,849",13.298B,46.64
NOH1.F,Norsk Hydro ASA,6.28,+0.03,+0.42%,510,"1,750",13.246B,7.56
188H.DU,"Shandong Gold Mining Co., Ltd.",1.7400,+0.0500,+2.96%,400,0,12.909B,58.00
NZM2.F,Novozymes A/S,45.35,-0.08,-0.18%,260,221,12.865B,26.52
NZM.F,Novozymes A/S,45.00,-0.80,-1.75%,50,3,12.585B,26.16
AKU1.F,Akzo Nobel N.V.,71.92,+0.04,+0.06%,5,65,12.27B,40.86
EDG.F,Gold Fields Limited,13.70,-0.10,-0.72%,"6,678",903,12.475B,19.30
C4F.F,"CF Industries Holdings, Inc.",63.48,-0.48,-0.75%,300,38,12.825B,4.56
EDGA.F,Gold Fields Limited,13.65,+0.20,+1.49%,275,"3,365",12.341B,18.45
AKUP.F,Akzo Nobel N.V.,23.80,0.00,0.00%,1,0,12.181B,23.56
AVG.SG,"Avantor, Inc.",17.95,+0.31,+1.73%,0,0,12.12B,21.12
AVG.F,"Avantor, Inc.",17.94,+0.12,+0.65%,400,7,12.114B,21.11
FMQ.F,FMC Corporation,96.54,+0.46,+0.48%,53,13,12.071B,16.04
SPXB.F,Suzano S.A.,9.05,+0.25,+2.84%,500,0,11.747B,3.33
SPXB.SG,Suzano S.A.,8.95,+0.25,+2.87%,0,0,11.667B,3.34
AOC.F,Aluminum Corporation of China Limited,0.4315,+0.0236,+5.79%,"80,000","1,616",11.53B,14.38
DG3.F,Celanese Corporation,105.60,-1.40,-1.31%,50,10,11.488B,8.11
SOL0.F,Solvay SA,10.40,0.00,0.00%,200,3,11.479B,6.15
32Z.F,South32 Limited,2.4800,+0.0040,+0.16%,"1,000",742,11.278B,5.39
SOL.F,Solvay SA,107.15,+1.20,+1.13%,70,7,11.39B,6.33
JHA0.F,James Hardie Industries plc,24.20,+0.40,+1.68%,300,0,11.308B,22.00
JHA.F,James Hardie Industries plc,25.00,+0.20,+0.81%,240,4,11.203B,22.32
BNRA.SG,Brenntag SE,14.00,0.00,0.00%,0,0,11.028B,12.61
BNR.DE,Brenntag SE,71.56,+0.72,+1.02%,"150,948","442,192",11.025B,12.94
BNRA.F,Brenntag SE,14.00,-0.50,-3.45%,100,25,10.953B,12.61
BNR.F,Brenntag SE,71.02,-2.86,-3.87%,410,207,10.944B,12.84
AOCA.F,Aluminum Corporation of China Limited,10.40,+0.70,+7.22%,100,23,10.935B,13.33
02M.DE,The Mosaic Company,32.54,0.00,0.00%,993,604,10.807B,4.41
2220.F,Tianqi Lithium Corporation,6.50,+0.17,+2.72%,150,68,10.716B,3.23
02M.F,The Mosaic Company,31.88,-0.58,-1.79%,76,89,10.588B,4.12
ND50.MU,Nitto Denko Corporation,35.60,0.00,0.00%,N/A,0,10.287B,13.69
ND5.F,Nitto Denko Corporation,69.50,-1.00,-1.42%,24,39,10.07B,13.34
IYAA.F,Ivanhoe Mines Ltd.,8.12,+0.18,+2.27%,185,313,10.026B,21.38
RP8.F,RPM International Inc.,76.50,+0.50,+0.66%,45,2,9.95B,20.13
CEXB.F,"CEMEX, S.A.B. de C.V.",0.6800,+0.0100,+1.49%,750,"1,488",9.852B,17.00
NS7.F,Northern Star Resources Limited,8.38,+0.32,+3.97%,"4,400","1,488",9.711B,69.83
NS70.F,Northern Star Resources Limited,8.30,+0.35,+4.40%,100,0,9.702B,69.17
CEXA.F,"CEMEX, S.A.B. de C.V.",6.65,-0.05,-0.75%,40,175,9.673B,17.97
ENUN.F,Stora Enso Oyj,11.92,+0.18,+1.53%,315,75,9.492B,6.48
AOD.F,AngloGold Ashanti Limited,22.20,+0.20,+0.91%,200,"1,616",9.439B,33.64
AOD1.F,AngloGold Ashanti Limited,22.20,+0.20,+0.91%,400,"2,015",9.397B,33.64
AODC.F,AngloGold Ashanti Limited,4.3200,+0.0400,+0.93%,660,225,9.394B,33.23
ENUR.F,Stora Enso Oyj,11.69,-0.38,-3.11%,250,"1,318",9.304B,6.36
ENU.F,Stora Enso Oyj,12.28,-0.14,-1.13%,450,10,9.165B,6.71
ENUA.F,Stora Enso Oyj,12.50,-0.40,-3.10%,100,28,9.152B,6.61
51C.F,Chr. Hansen Holding A/S,68.16,+0.54,+0.80%,70,9,9.093B,39.63
PLR.F,Pilbara Minerals Limited,3.0000,+0.1080,+3.73%,"2,500","9,738",9.088B,8.33
6CMB.F,Croda International Plc,64.00,0.00,0.00%,300,5,9.087B,11.85
EAC.F,Eastman Chemical Company,75.60,+0.08,+0.11%,2,23,9.008B,14.05
S190.MU,"Sumitomo Metal Mining Co., Ltd.",8.05,0.00,0.00%,200,3,8.937B,4.79
F5J.F,Mineral Resources Limited,45.88,+1.90,+4.31%,200,37,8.929B,18.13
F5J0.F,Mineral Resources Limited,45.80,+2.00,+4.57%,40,0,8.923B,18.10
SCA0.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.00,-0.20,-1.64%,82,0,8.88B,15.79
NPX.F,Nippon Sanso Holdings Corporation,19.88,-0.24,-1.19%,"2,740",216,8.762B,19.68
ASA.F,Asahi Kasei Corporation,12.30,0.00,0.00%,N/A,0,8.743B,14.82
S19.F,"Sumitomo Metal Mining Co., Ltd.",31.80,0.00,0.00%,120,60,8.738B,4.70
ASAA.F,Asahi Kasei Corporation,6.25,-0.07,-1.11%,795,48,8.717B,14.87
GDUA.F,Gerdau S.A.,4.9800,+0.1200,+2.47%,100,57,8.705B,3.92
SCA1.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.50,+0.12,+0.97%,30,22,8.683B,16.23
KUI.F,Kumba Iron Ore Limited,26.20,+0.80,+3.15%,9,11,8.582B,11.34
SCA.SG,Svenska Cellulosa Aktiebolaget SCA (publ),12.16,-0.51,-3.99%,330,372,8.497B,15.79
EVKA.F,Evonik Industries AG,8.55,-0.15,-1.72%,150,2,8.376B,28.50
SCA.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.11,-0.39,-3.08%,840,934,8.37B,15.73
EVK.F,Evonik Industries AG,17.79,-0.03,-0.17%,"1,200","2,911",8.32B,29.65
SAO.F,Sasol Limited,13.00,+0.20,+1.56%,100,36,8.301B,4.21
SAOA.F,Sasol Limited,13.05,0.00,0.00%,"2,000",179,8.301B,4.24
EVK.DE,Evonik Industries AG,17.68,-0.18,-1.04%,"171,630","835,538",8.239B,29.97
IU2.F,Yara International ASA,32.21,-0.07,-0.22%,110,"1,080",8.207B,4.73
GDUB.F,Gerdau S.A.,4.7800,0.0000,0.00%,798,"1,374",8.193B,3.85
1CO1.F,Covestro AG,20.00,+0.10,+0.50%,52,0,8.168B,N/A
WCH.DE,Wacker Chemie AG,124.05,+2.55,+2.10%,"45,700","168,937",8.139B,5.34
WCH.F,Wacker Chemie AG,123.90,+5.00,+4.21%,85,420,8.129B,5.29
IU20.F,Yara International ASA,15.90,+0.20,+1.27%,930,44,8.1B,4.37
1COV.F,Covestro AG,40.56,-0.14,-0.34%,254,"1,719",8.057B,N/A
1COV.DE,Covestro AG,40.41,-0.48,-1.17%,"406,317","992,258",8.03B,N/A
CVA.F,Cleveland-Cliffs Inc.,15.20,-0.17,-1.11%,"4,500",186,7.827B,16.70
INX.F,IMCD N.V.,133.40,-0.60,-0.45%,14,2,7.589B,24.39
JFR.F,"JFE Holdings, Inc.",12.90,-0.10,-0.77%,527,50,7.661B,5.08
M3C0.F,Mitsubishi Chemical Group Corporation,25.80,0.00,0.00%,100,0,7.647B,16.02
SHJ.F,AGC Inc.,33.80,-0.20,-0.59%,331,29,7.56B,N/A
M3C.F,Mitsubishi Chemical Group Corporation,5.20,-0.08,-1.51%,"1,960",48,7.541B,16.27
BWJ0.F,Boliden AB (publ),54.00,-0.50,-0.92%,40,0,7.404B,8.33
T5Z.F,Ternium S.A.,37.40,-0.20,-0.53%,72,4,7.342B,5.75
KYCA.F,Mondi plc,29.60,+0.20,+0.68%,15,0,7.308B,6.05
KYC.F,Mondi plc,14.90,+0.10,+0.68%,400,55,7.235B,5.96
H0Q.F,China Hongqiao Group Limited,0.7316,+0.0038,+0.52%,555,41,7.18B,6.10
IDZ.F,IGO Limited,9.33,+0.15,+1.68%,110,142,7.126B,13.14
IDZ1.F,IGO Limited,18.50,+0.30,+1.65%,500,8,7.116B,12.67
JIX.F,Jiangxi Copper Company Limited,1.4600,-0.0200,-1.35%,200,116,7.071B,6.08
RG3.F,"Royal Gold, Inc.",106.35,-0.60,-0.56%,34,35,7.027B,32.23
SKWC.F,SSAB AB (publ),6.67,-0.05,-0.80%,10,40,7.005B,N/A
SKWA.F,SSAB AB (publ),6.84,-0.06,-0.81%,5,219,6.974B,N/A
IPH1.F,Impala Platinum Holdings Limited,7.75,0.00,0.00%,385,463,6.815B,3.97
IPHB.F,Impala Platinum Holdings Limited,7.78,+0.28,+3.73%,"1,050","1,958",6.713B,4.14
SKW.MU,SSAB AB (publ),3.1800,0.0000,0.00%,200,0,6.664B,N/A
9AX.F,Axalta Coating Systems Ltd.,29.40,-0.20,-0.68%,135,3,6.584B,33.03
3O10.F,Allkem Limited,9.97,+0.25,+2.57%,738,"12,322",6.357B,14.04
V1S.F,Arkema S.A.,84.10,-0.16,-0.19%,120,5,6.339B,8.52
XI9.F,Xinyi Glass Holdings Limited,1.4840,+0.0360,+2.49%,"2,500",164,6.269B,9.89
OLN.DE,Olin Corporation,47.58,0.00,0.00%,1,7,6.152B,6.78
GXD.F,Lundin Mining Corporation,7.51,+0.11,+1.49%,73,297,6.151B,27.80
BH5.F,BlueScope Steel Limited,13.20,+0.20,+1.54%,150,18,6.13B,5.76
OLN.F,Olin Corporation,47.15,-0.35,-0.74%,11,0,6.12B,6.64
WFC.F,West Fraser Timber Co. Ltd.,71.60,-1.34,-1.84%,500,1,6.084B,7.75
185.F,Alcoa Corporation,32.50,-0.58,-1.75%,500,168,5.798B,N/A
HL9.MU,Holmen AB (publ),18.20,0.00,0.00%,N/A,0,5.897B,11.90
6E2.F,Endeavour Mining plc,23.20,-0.10,-0.43%,50,469,5.872B,N/A
NSC.F,Nissan Chemical Corporation,41.20,-0.40,-0.96%,59,47,5.852B,19.81
FNL.F,Fresnillo plc,7.84,0.00,0.00%,"2,850",668,5.779B,22.41
2R7.F,Azelis Group NV,22.66,0.00,0.00%,213,18,5.765B,25.46
VAS.F,Voestalpine AG,32.74,0.00,0.00%,40,267,5.748B,6.05
VASS.F,Voestalpine AG,6.30,-0.10,-1.56%,131,2,5.736B,5.73
HL9D.F,Holmen AB (publ),35.20,-0.30,-0.85%,50,0,5.694B,11.35
4FO.F,"Industrias Peñoles, S.A.B. de C.V.",14.20,0.00,0.00%,400,128,5.644B,50.71
2R7.SG,Azelis Group NV,22.66,+0.10,+0.44%,0,3,5.618B,24.37
HL9C.F,Holmen AB (publ),35.17,-0.19,-0.54%,100,14,5.605B,11.49
KGHA.F,KGHM Polska Miedz S.A.,26.87,+0.26,+0.98%,500,196,5.46B,7.95
KIN2.F,Kinross Gold Corporation,4.4060,-0.0560,-1.26%,900,"5,992",5.453B,146.87
E5M.F,Eagle Materials Inc.,152.00,-2.00,-1.30%,45,0,5.434B,13.10
FPE3.DE,Fuchs Petrolub SE,34.34,-0.24,-0.69%,"19,977","107,393",4.224B,17.23
KIN2.DE,Kinross Gold Corporation,4.4160,-0.0420,-0.94%,36,"13,694",5.421B,147.20
UTY.F,PT United Tractors Tbk,1.4400,+0.0400,+2.86%,500,232,5.308B,3.89
I93.F,Indorama Ventures Public Company Limited,0.9150,0.0000,0.00%,"1,000",3,5.249B,10.17
CMS.F,Commercial Metals Company,43.78,+0.06,+0.14%,55,0,5.172B,5.38
USX1.DE,United States Steel Corporation,21.85,0.00,0.00%,514,168,5.15B,3.39
TWL.F,"Simpson Manufacturing Co., Inc.",118.80,-1.10,-0.92%,6,0,5.123B,17.12
