Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
4ZC.F,Reyna Silver Corp.,0.1295,-0.0005,-0.38%,400,550,20.733M,N/A
6M0A.F,Manuka Resources Limited,0.0350,+0.0020,+6.06%,"2,000","14,779",19.434M,N/A
1PY0.F,Phenom Resources Corp.,0.1970,+0.0030,+1.55%,"4,000",0,19.413M,N/A
2D2.F,Scandinavian Investment Group A/S,0.3720,+0.0040,+1.09%,600,0,19.355M,5.31
8Q7.F,Hercules Silver Corp.,0.0830,-0.0030,-3.49%,"2,000",71,19.34M,2.77
3FL.F,Strategic Metals Ltd.,0.1680,0.0000,0.00%,"10,000",0,19.284M,N/A
9EU.SG,Eclipse Metals Limited,0.0075,0.0000,0.00%,0,0,19.085M,N/A
2GA.SG,Galileo Resources Plc,0.0100,0.0000,0.00%,0,0,19.072M,N/A
SS7A.F,Gold Springs Resource Corp.,0.0630,0.0000,0.00%,305,0,18.971M,N/A
KT9.F,Giyani Metals Corp.,0.0750,+0.0030,+4.17%,200,0,18.915M,N/A
1XX.SG,Newport Exploration Ltd.,0.1690,0.0000,0.00%,0,53,18.884M,5.63
5WP0.F,Blue Star Gold Corp.,0.2500,-0.0020,-0.79%,"13,500",241,20.337M,N/A
V6Y.F,Targa Exploration Corp.,0.3020,+0.1070,+54.87%,"1,800","1,758",18.703M,N/A
GTD.F,Golden Tag Resources Ltd.,0.0850,-0.0010,-1.16%,"30,600","6,702",18.43M,N/A
A9J.F,Arizona Silver Exploration Inc.,0.2640,-0.0100,-3.65%,"37,500","1,027",18.342M,N/A
2JR1.F,Jourdan Resources Inc.,0.0420,-0.0035,-7.69%,"10,500",419,18.262M,N/A
S5WA.F,Bluejay Mining plc,0.0130,+0.0008,+6.56%,"3,000","1,642",36.557M,N/A
3B4.F,Buxton Resources Limited,0.0970,-0.0050,-4.90%,850,309,18.241M,N/A
2REA.F,Cadence Minerals Plc,0.0910,0.0000,0.00%,100,285,18.206M,N/A
N07A.F,Pasofino Gold Limited,0.3220,0.0000,0.00%,"6,000",0,18.179M,N/A
6CA.F,Cartier Resources Inc.,0.0576,-0.0104,-15.29%,"23,000","9,253",18.134M,N/A
HEG.F,Barsele Minerals Corp.,0.1260,+0.0010,+0.80%,"10,000",678,18.034M,N/A
3WU.F,Freeman Gold Corp.,0.1250,0.0000,0.00%,"1,335","1,396",17.424M,12.50
G6D2.F,Surge Copper Corp.,0.0885,+0.0055,+6.63%,"20,000","1,715",17.704M,N/A
5E50.F,NevGold Corp.,0.2400,-0.0040,-1.64%,"5,800",177,17.702M,N/A
A0H.SG,Auxico Resources Canada Inc.,0.1400,-0.0140,-9.09%,0,17,10.602M,N/A
BRR2.F,Giga Metals Corporation,0.1665,-0.0040,-2.35%,"2,500",0,17.56M,N/A
UJ0.MU,West Red Lake Gold Mines Ltd.,0.4400,0.0000,0.00%,"2,500",570,29.233M,N/A
GVL1.SG,Goldstone Resources Limited,0.0275,0.0000,0.00%,0,0,17.183M,N/A
AZ3.F,Aztec Minerals Corp.,0.1805,-0.0195,-9.75%,"5,000","1,216",17.098M,N/A
TV3.F,Tocvan Ventures Corp.,0.4140,+0.0020,+0.49%,"14,600","13,481",17.088M,N/A
FZ7.F,BBX Minerals Limited,0.0300,-0.0005,-1.64%,"40,000",0,17.039M,N/A
O6M.F,Orvana Minerals Corp.,0.1120,-0.0010,-0.88%,"3,000",598,16.966M,N/A
X370.F,Avanti Gold Corp.,0.4370,-0.0080,-1.80%,1,144,16.949M,N/A
G4U.F,Globe Metals & Mining Limited,0.0270,-0.0005,-1.82%,"140,000","2,500",16.882M,N/A
9EU.F,Eclipse Metals Limited,0.0055,0.0000,0.00%,"60,000","1,071",16.795M,N/A
1QV.F,Kutcho Copper Corp.,0.1095,-0.0050,-4.37%,"16,000","4,826",16.712M,N/A
A4E1.F,Almaden Minerals Ltd.,0.1030,-0.0005,-0.48%,"1,000",192,16.694M,N/A
QR20.F,Lion Copper and Gold Corp.,0.0455,-0.0070,-13.33%,"6,975",0,16.649M,N/A
E8D.F,FendX Technologies Inc.,0.2950,+0.0310,+11.74%,"85,000","1,863",16.585M,N/A
C3J.F,Cabral Gold Inc.,0.0765,-0.0005,-0.65%,"450,000",0,16.532M,N/A
HLS.MU,AIC Resources Limited,0.2600,0.0000,0.00%,4,0,19.5M,N/A
37N.F,Imagine Lithium Inc.,0.0465,-0.0005,-1.06%,"12,500",0,16.496M,N/A
A6X.F,aXichem AB,0.6100,-0.0180,-2.87%,35,0,16.413M,N/A
6Q5.F,Fathom Nickel Inc.,0.1930,+0.0330,+20.63%,"13,500","11,412",16.381M,N/A
634.F,Exploits Discovery Corp.,0.1075,-0.0085,-7.33%,"100,000","4,851",16.334M,N/A
GPE.F,GR Silver Mining Ltd.,0.0620,0.0000,0.00%,"10,000","2,120",16.23M,N/A
W2A.F,FRX Innovations Inc.,0.1770,-0.0080,-4.32%,"8,000",314,16.189M,N/A
UJ0.SG,West Red Lake Gold Mines Ltd.,0.4040,-0.0240,-5.61%,0,"1,244",26.841M,N/A
9AO.F,Atico Mining Corporation,0.1220,-0.0060,-4.69%,"5,000",89,16.067M,N/A
B4E0.F,Beowulf Mining plc,0.0090,-0.0032,-26.23%,"1,000",244,16.047M,N/A
EA1.F,East Africa Metals Inc.,0.0760,+0.0012,+1.60%,"1,000","1,477",15.892M,N/A
ZJ9.F,Regency Silver Corp.,0.1800,+0.0020,+1.12%,"11,500",526,15.86M,N/A
SS60.F,Pan American Energy Corp.,0.3310,-0.0190,-5.43%,"1,000","11,159",15.832M,N/A
B7BA.SG,Amani Gold Limited,0.0002,0.0000,0.00%,0,0,15.774M,N/A
B7BA.F,Amani Gold Limited,0.0002,0.0000,0.00%,40M,3.41M,15.774M,N/A
GZ7.F,Nordic Nickel Limited,0.1170,+0.0090,+8.33%,N/A,0,15.769M,N/A
3F9.F,Fancamp Exploration Ltd.,0.0695,+0.0030,+4.51%,"10,000",0,15.767M,1.16
SL50.F,Recharge Resources Ltd.,0.2350,+0.0350,+17.50%,"24,714","14,345",15.696M,N/A
33E.F,Eagle Plains Resources Ltd.,0.1350,+0.0030,+2.27%,"7,000",872,15.663M,N/A
7HM.F,Harvest Minerals Limited,0.0585,+0.0185,+46.25%,"20,000",357,15.624M,N/A
6ZF0.F,Apollo Silver Corp.,0.0775,-0.0035,-4.32%,"18,000","2,634",15.62M,N/A
2GQ.F,GFG Resources Inc,0.0685,-0.0015,-2.14%,"3,827",68,27.669M,N/A
LL0.F,Hove A/S,0.6420,+0.0080,+1.26%,N/A,0,15.516M,16.05
PTJ.F,Antilles Gold Limited,0.0230,0.0000,0.00%,433,0,15.416M,N/A
1OI.F,BeMetals Corp.,0.0735,0.0000,0.00%,"20,000",399,15.357M,N/A
2D9.F,Ascendant Resources Inc.,0.1050,0.0000,0.00%,"11,291",201,15.665M,N/A
RFC4.F,CopAur Minerals Inc.,0.2560,-0.0040,-1.54%,"10,783","1,765",15.289M,N/A
R2TA.F,Red Rock Resources Plc,0.0045,+0.0010,+28.57%,"71,428","91,446",15.281M,N/A
0IU0.HM,US Critical Metals Corp.,0.1420,+0.0030,+2.16%,"1,000",160,7.664M,N/A
ARB3.F,Progressive Planet Solutions Inc.,0.1320,-0.0040,-2.94%,"3,000",224,15.205M,N/A
97E0.F,Vizsla Copper Corp.,0.1450,+0.0010,+0.69%,8,266,15.188M,N/A
ATY.F,Artemis Resources Limited,0.0070,+0.0020,+40.00%,"200,000",0,15.169M,N/A
RQM.F,Garibaldi Resources Corp.,0.0855,+0.0030,+3.64%,"12,000",243,15.168M,N/A
SOG.F,Enduro Metals Corporation,0.0525,+0.0035,+7.14%,"10,000",0,15.123M,N/A
GPB.F,Grande Portage Resources Ltd.,0.1280,+0.0030,+2.40%,500,366,15.08M,N/A
89N.F,Max Power Mining Corp.,0.3180,+0.0020,+0.63%,500,9,15.043M,N/A
7BR.F,Bulletin Resources Limited,0.0400,+0.0109,+37.46%,"45,000",0,15.041M,N/A
OTM.F,TomaGold Corporation,0.0040,+0.0035,+700.00%,"50,000",892,15.006M,N/A
5HV.F,Ameriwest Lithium Inc.,0.2460,-0.0010,-0.40%,"5,000",842,14.982M,N/A
AL9.SG,Sunstone Metals Limited,0.0130,+0.0020,+18.18%,0,151,32.457M,N/A
PI8.F,Newcore Gold Ltd.,0.0985,-0.0035,-3.43%,"43,500","3,116",14.856M,N/A
G7N.F,Goldplat PLC,0.0820,+0.0005,+0.61%,"3,000",0,14.795M,4.10
GQQ.SG,Eco Oro Minerals Corp,0.0060,-0.0020,-25.00%,0,0,"702,750",N/A
32U.F,Manhattan Corporation Limited,0.0040,0.0000,0.00%,"5,000","19,639",13.263M,N/A
NGU.F,Mundoro Capital Inc.,0.1210,-0.0090,-6.92%,500,8,14.683M,N/A
6HG.F,Haydale Graphene Industries plc,0.0100,0.0000,0.00%,"15,000","7,850",14.679M,N/A
3NY1.F,Nyrstar NV,0.1225,+0.0030,+2.51%,"2,500",44,14.673M,N/A
55D.F,Podium Minerals Limited,0.0345,+0.0005,+1.47%,"5,000",0,14.645M,N/A
I13.F,DFR Gold Inc.,0.0560,0.0000,0.00%,"1,000",0,14.625M,N/A
EG5.F,Botswana Diamonds plc,0.0115,+0.0010,+9.52%,N/A,0,14.624M,N/A
69K.SG,Aterian plc,0.0100,+0.0027,+36.99%,0,0,14.586M,N/A
C0J.F,Cora Gold Limited,0.0310,-0.0015,-4.62%,"200,000",0,14.577M,N/A
KD0.F,First Phosphate Corp.,0.2900,-0.0320,-9.94%,40,"2,508",14.54M,N/A
1V8.F,Vanstar Mining Resources Inc.,0.2300,-0.0020,-0.86%,"1,000",0,14.428M,N/A
CQ4.F,Mandrake Resources Limited,0.0205,0.0000,0.00%,"2,500",0,14.327M,N/A
4Z9.F,P2 Gold Inc.,0.1330,0.0000,0.00%,"9,000",0,15.107M,N/A
0N2.F,Omai Gold Mines Corp.,0.0315,+0.0035,+12.50%,"40,000","2,497",13.581M,N/A
02P.F,Pearl Gold AG,0.5700,0.0000,0.00%,20,258,14.25M,N/A
WRC.F,Wolfden Resources Corporation,0.0765,+0.0025,+3.38%,900,16,14.232M,N/A
WRC.MU,Wolfden Resources Corporation,0.0765,+0.0025,+3.38%,"14,000",0,14.232M,N/A
FPO.SG,Petra Diamonds Limited,0.7590,-0.0160,-2.06%,0,44,7.059B,N/A
VM3.F,Vulcan Minerals Inc.,0.1165,-0.0040,-3.32%,"1,500",26,14.187M,N/A
CKV.F,Carbonxt Group Limited,0.0490,0.0000,0.00%,300,10,14.105M,N/A
FMP.F,Fortune Minerals Limited,0.0225,-0.0035,-13.46%,"10,000",0,14.085M,N/A
VJF.HM,Vital Metals Limited,0.0053,0.0000,0.00%,"50,000",892,24.827M,N/A
NYJ.SG,Ironveld Plc,0.0015,0.0000,0.00%,0,0,13.994M,N/A
M1W.F,Goldquest Mining Corp.,0.0460,-0.0005,-1.08%,"5,000",89,13.982M,N/A
1AJ2.F,Vision Lithium Inc.,0.0488,-0.0002,-0.41%,800,14,13.982M,N/A
TX0.F,Gold Terra Resource Corp.,0.0385,-0.0070,-15.38%,300,"3,211",13.841M,N/A
P6C.F,Nagambie Resources Limited,0.0170,0.0000,0.00%,"13,500",0,13.827M,N/A
MM4.F,Metallica Minerals Limited,0.0050,-0.0005,-9.09%,"3,800",302,13.808M,N/A
5ZE.F,Homerun Resources Inc.,0.2860,+0.0300,+11.72%,N/A,0,13.791M,N/A
45A.F,Alchemy Resources Limited,0.0064,0.0000,0.00%,"125,000","2,232",13.734M,N/A
7BL.F,Blue Lagoon Resources Inc.,0.1080,-0.0010,-0.92%,"1,000","1,573",13.67M,N/A
EO4.F,Eo2 Société Anonyme,5.10,+0.10,+2.00%,312,0,13.657M,20.40
GDM.F,Indiana Resources Limited,0.0185,0.0000,0.00%,"32,155",574,13.643M,N/A
K14.F,American Future Fuel Corporation,0.1730,+0.0020,+1.17%,"1,000","10,738",13.596M,N/A
7LY0.MU,World Copper Ltd.,0.1085,0.0000,0.00%,"4,950",266,13.563M,N/A
PBU.F,Equatorial Resources Limited,0.0915,-0.0005,-0.54%,100,0,13.506M,N/A
9SC.F,Manganese X Energy Corp.,0.0992,-0.0004,-0.40%,"2,400","1,640",13.464M,N/A
X0D.F,Millennial Potash Corp.,0.2825,-0.0024,-0.84%,"2,600","7,169",13.382M,N/A
381.F,Tribeca Resources Corporation,0.2040,0.0000,0.00%,"1,200",0,14.973M,N/A
UH7A.F,Tennant Minerals Limited,0.0130,0.0000,0.00%,"4,010","9,357",13.305M,N/A
26K0.F,Strategic Minerals Europe Corp.,0.0350,0.0000,0.00%,"7,777",0,12.234M,N/A
G5MA.F,Goldsource Mines Inc.,0.2100,-0.0060,-2.78%,"1,850",0,13.267M,N/A
YAK.F,Nexus Minerals Limited,0.0300,0.0000,0.00%,"41,000",0,13.239M,N/A
FW9.F,AJ Lucas Group Limited,0.0060,0.0000,0.00%,"6,300",0,12.083M,N/A
KR1.F,Kalamazoo Resources Limited,0.0732,+0.0034,+4.87%,"21,000",428,13.17M,N/A
5RJ.F,Core Assets Corp.,0.1355,-0.0175,-11.44%,"20,000",0,13.146M,N/A
AML.F,Abcourt Mines Inc.,0.0260,0.0000,0.00%,"51,852",925,14.9M,N/A
AU5.F,Alara Resources Limited,0.0165,+0.0005,+3.12%,"20,000",357,13.009M,N/A
7LY0.F,World Copper Ltd.,0.1020,0.0000,0.00%,"1,396",26,12.978M,N/A
0GC0.F,Ridgeline Minerals Corp.,0.1340,+0.0060,+4.69%,"6,370",267,13.419M,N/A
FKC0.F,Focus Graphite Inc.,0.2080,+0.0020,+0.97%,200,392,12.87M,N/A
MA3.F,Matador Mining Limited,0.0366,-0.0004,-1.08%,"10,000",0,12.859M,N/A
P9G.F,Paramount Gold Nevada Corp.,0.2540,-0.0060,-2.31%,223,19,12.836M,N/A
1F2.MU,Encres Dubuit,4.0800,+0.0400,+0.99%,N/A,0,12.537M,N/A
VSO.F,Sotkamo Silver AB,0.0394,-0.0061,-13.41%,"3,000",142,12.502M,N/A
ODQ.F,Odyssey Gold Limited,0.0155,0.0000,0.00%,"230,000",0,12.487M,N/A
X0D.SG,Millennial Potash Corp.,0.2838,-0.0013,-0.46%,0,"13,652",11.061M,N/A
0SX0.F,Kalo Gold Corp.,0.0545,+0.0210,+62.69%,"1,000",0,21.41M,N/A
33R.F,Rome Resources Ltd.,0.1180,+0.0080,+7.27%,"4,000","2,533",12.346M,N/A
A0H.F,Auxico Resources Canada Inc.,0.1340,-0.0150,-10.07%,"10,954",195,12.258M,1.91
HM40.F,Stallion Discoveries Corp.,0.1440,+0.0140,+10.77%,"5,000","5,340",12.211M,N/A
4T9B.MU,Canada Silver Cobalt Works,0.0385,0.0000,0.00%,"4,000",0,2.357M,N/A
48U0.F,Marula Mining PLC,0.1070,-0.0240,-18.32%,"7,634","2,844",12.171M,N/A
G0D.F,Superior Gold Inc.,0.0926,+0.0076,+8.94%,"20,000",357,11.987M,N/A
M6X3.F,"Yield10 Bioscience, Inc.",1.9900,-0.0900,-4.33%,"1,500",0,11.979M,N/A
0E6.F,Scandium International Mining Corp.,0.0250,-0.0035,-12.28%,"5,000",89,11.951M,N/A
M1D2.F,Max Resource Corp.,0.0710,0.0000,0.00%,"10,000","3,717",11.832M,N/A
YQGB.F,Iconic Minerals Ltd.,0.0676,-0.0004,-0.59%,"30,000",535,11.757M,N/A
7ZG.F,Askari Metals Limited,0.1580,-0.0205,-11.48%,"7,000","5,329",11.743M,N/A
1RF.F,Sitka Gold Corp.,0.0635,-0.0020,-3.05%,"10,000","1,107",12.552M,N/A
LYC1.F,Tectonic Gold Plc,0.0010,0.0000,0.00%,"18,264",0,11.687M,0.10
YM4.F,Raiden Resources Limited,0.0015,+0.0005,+50.00%,"1,000",17,11.605M,N/A
L4T.SG,Lithium Corporation,0.1000,-0.0020,-1.96%,0,"16,947",11.589M,N/A
EBM.F,Eurobattery Minerals AB,0.3140,+0.0040,+1.29%,"8,700","13,768",11.586M,N/A
D6V1.F,Aeon Metals Limited,0.0055,+0.0005,+10.00%,488,130,11.496M,N/A
2CI0.F,Cartier Silver Corporation,0.3000,0.0000,0.00%,"2,000",181,11.475M,N/A
81V.F,QMines Limited,0.0660,0.0000,0.00%,"3,000",500,11.458M,N/A
TG50.F,Lanthanein Resources Limited,0.0070,-0.0005,-6.67%,"50,000",893,11.258M,N/A
D5G1.F,Dynasty Gold Corp.,0.1740,+0.0100,+6.10%,"15,000",669,11.207M,N/A
NK4.F,Southern Hemisphere Mining Limited,0.0155,+0.0075,+93.75%,"2,000","36,857",11.156M,N/A
ZX7.F,Gladiator Metals Corp.,0.3620,-0.0080,-2.16%,200,"5,582",11.146M,N/A
T23A.F,Tembo Gold Corp.,0.1060,-0.0010,-0.93%,"33,000",0,11.136M,N/A
5V8.F,Vendetta Mining Corp.,0.0305,0.0000,0.00%,"10,000",178,11.058M,N/A
S06.F,Silver Viper Minerals Corp.,0.0676,-0.0036,-5.06%,"19,000",339,11.102M,N/A
VL5.F,Vior Inc.,0.0905,-0.0040,-4.23%,"7,500",0,11.1M,N/A
ALM.F,Golden Rim Resources Ltd,0.0160,0.0000,0.00%,"22,222",0,11.081M,N/A
P8T.F,Royalties Inc.,0.0425,+0.0030,+7.59%,"50,000","10,975",11.059M,N/A
3LQ.F,QMC Quantum Minerals Corp,0.1040,-0.0040,-3.70%,"8,000",0,10.749M,N/A
M9R.F,ZincX Resources Corp.,0.0495,-0.0005,-1.00%,"1,000",482,11.033M,N/A
2MC.F,First Helium Inc.,0.1042,-0.0004,-0.38%,"49,290","1,191",9.862M,3.47
BME.F,Beijing Media Corporation Limited,0.0500,-0.0030,-5.66%,50,0,11.012M,N/A
5XL.F,Sable Resources Ltd.,0.0280,0.0000,0.00%,"20,000",803,10.992M,N/A
PX0.F,PolarX Limited,0.0060,+0.0005,+9.09%,"100,000",0,10.977M,N/A
338B.F,CDN Maverick Capital Corp.,0.8300,+0.0750,+9.93%,"3,000","7,537",10.949M,N/A
D860.F,South Harz Potash Limited,0.0150,0.0000,0.00%,"1,000","1,535",10.917M,N/A
3R10.F,Future Metals NL,0.0130,0.0000,0.00%,"15,000",0,10.11M,N/A
4T9B.F,Canada Silver Cobalt Works Inc.,0.0300,0.0000,0.00%,"10,000","5,100",10.882M,N/A
ELM.F,Elcora Advanced Materials Corp.,0.0650,-0.0130,-16.67%,"77,055","9,919",10.88M,N/A
DCM.F,Doré Copper Mining Corp.,0.1030,-0.0035,-3.29%,"15,000",267,10.867M,N/A
W28.F,European Energy Metals Corp.,0.5020,+0.0060,+1.21%,"12,900","19,230",10.818M,N/A
P4R.F,Platina Resources Limited,0.0115,0.0000,0.00%,"100,000",0,10.791M,N/A
EGSD.F,Equity Metals Corporation,0.0705,-0.0040,-5.37%,"7,000","3,436",10.773M,N/A
9PX.F,Platinex Inc.,0.0225,+0.0035,+18.42%,"10,000",178,8.987M,N/A
4AP.F,Apollo Minerals Limited,0.0140,0.0000,0.00%,"3,000","1,888",10.674M,N/A
8FD.F,FenixOro Gold Corp.,0.0670,+0.0115,+20.72%,"1,000","1,980",10.661M,N/A
7PB.F,Viva Gold Corp.,0.0990,-0.0040,-3.88%,"10,000","1,712",11.698M,N/A
6YR0.F,Archer Exploration Corp.,0.0890,-0.0035,-3.78%,294,847,10.553M,N/A
K4L.F,Nevada Sunrise Metals Corporation,0.0640,0.0000,0.00%,600,341,10.545M,N/A
FN3.F,Toubani Resources Inc.,0.0975,+0.0005,+0.52%,N/A,0,10.523M,N/A
42E.HM,Emmerson Resources Ltd,0.0305,+0.0005,+1.67%,"4,347",0,8.006M,N/A
2IK.F,Element 29 Resources Inc.,0.1000,-0.0050,-4.76%,"2,999",94,9.675M,N/A
BR00.F,Cruz Battery Metals Corp.,0.0600,0.0000,0.00%,"20,000","23,150",10.417M,N/A
9AB.SG,Alba Mineral Resources plc,0.0010,0.0000,0.00%,0,0,10.412M,N/A
SY7.F,Metallica Metals Corp.,0.0942,0.0000,0.00%,2,66,11.608M,N/A
23B0.F,Quantum Battery Metals Corp.,0.3450,-0.0060,-1.71%,"7,130","22,917",10.003M,N/A
BIN.F,Black Iron Inc.,0.0250,-0.0170,-40.48%,"1,760",31,10.299M,N/A
HM5.F,Cyclone Metals Limited,0.0010,0.0000,0.00%,"500,000","172,508",10.265M,N/A
D52.F,American Copper Development Corporation,0.1130,-0.0140,-11.02%,"1,500",44,10.253M,N/A
3PM.SG,Infinity Lithium Corporation Limited,0.0600,0.0000,0.00%,0,"2,342",12.71M,N/A
DVQ1.SG,Dolly Varden Silver Corp,0.4580,0.0000,0.00%,0,"3,718",10.584M,N/A
601A.F,AmmPower Corp.,0.0650,-0.0150,-18.75%,"28,000","10,439",9.986M,N/A
4YW.F,Silver Dollar Resources Inc.,0.2380,0.0000,0.00%,"15,620",645,9.972M,N/A
VJ3.F,Troy Minerals Inc.,0.2620,-0.0020,-0.76%,N/A,0,9.883M,N/A
LBDP.F,Klondike Gold Corp.,0.0475,-0.0035,-6.86%,"5,000",89,9.871M,N/A
HF2.F,Reflex Advanced Materials Corp.,0.2260,-0.0120,-5.04%,"1,000","8,170",9.857M,N/A
BDD.F,Conico Ltd,0.0040,-0.0001,-2.44%,"100,000","38,392",9.851M,N/A
5N91.F,Aguia Resources Limited,0.0085,0.0000,0.00%,400,301,9.834M,N/A
4V9.F,Canadian Manganese Company Inc.,0.0645,0.0000,0.00%,"1,000",35,11.265M,N/A
JMU.SG,Jangada Mines Plc,0.0290,0.0000,0.00%,0,0,9.773M,N/A
E9P1.F,Eastern Platinum Limited,0.0540,+0.0030,+5.88%,"4,000","4,492",9.65M,N/A
54NA.F,Elevation Gold Mining Corporation,0.0836,+0.0032,+3.98%,"7,000",154,9.515M,N/A
23K.F,K2 Gold Corporation,0.0840,-0.0070,-7.69%,"2,000",0,8.227M,N/A
SWQ.HM,Silver Mines Ltd,0.1078,+0.0030,+2.86%,"1,000",17,24.064M,N/A
9AJ1.F,Altiplano Metals Inc.,0.0568,+0.0002,+0.35%,"25,000","1,494",9.372M,N/A
5DE0.F,York Harbour Metals Inc.,0.1230,-0.0040,-3.15%,"1,000","8,564",11.504M,N/A
CKU.F,Clean Air Metals Inc.,0.0370,-0.0010,-2.63%,400,762,8.291M,N/A
JO00.F,Usha Resources Ltd.,0.1765,-0.0135,-7.11%,105,"1,214",9.352M,N/A
377A.F,Sirios Resources Inc.,0.0280,0.0000,0.00%,800,"1,323",9.327M,N/A
5YB.F,Ion Energy Ltd.,0.1380,-0.0105,-7.07%,"150,000","3,650",8.639M,N/A
UGB1.F,Unigold Inc.,0.0235,-0.0035,-12.96%,"75,000","1,339",9.291M,N/A
64O.F,Rugby Resources Ltd.,0.0275,0.0000,0.00%,"7,500",0,9.244M,N/A
T7Y1.F,Tower Resources Ltd.,0.0560,-0.0040,-6.67%,"65,000","1,964",9.235M,N/A
6W0.F,Reunert Limited,2.8800,+0.0400,+1.41%,40,0,476.122M,N/A
J2M.F,Fulcrum Metals plc,0.1660,0.0000,0.00%,N/A,0,9.04M,N/A
WN9.F,First Class Metals PLC,0.1150,0.0000,0.00%,"7,340",425,9.033M,N/A
1P2.F,Silver Elephant Mining Corp.,0.2510,-0.0050,-1.95%,"2,100",78,9.026M,N/A
21V1.F,GCX Metals Limited,0.0080,0.0000,0.00%,180,3,11.279M,N/A
48S.F,Sarama Resources Ltd,0.0100,0.0000,0.00%,N/A,0,7.918M,N/A
BAPA.F,Evion Group NL,0.0225,+0.0005,+2.27%,"3,500",62,8.991M,N/A
REZ.F,Global Battery Metals Ltd.,0.1080,+0.0030,+2.86%,"20,000","1,007",8.986M,N/A
QXR2.F,Desert Gold Ventures Inc.,0.0375,0.0000,0.00%,"2,700","7,762",8.963M,N/A
LFY.SG,Valor Resources Limited,0.0015,0.0000,0.00%,0,342,8.947M,N/A
SQH.F,Spearmint Resources Inc.,0.0286,0.0000,0.00%,"6,000","3,364",8.944M,N/A
87K.F,Nevada Lithium Resources Inc.,0.1315,-0.0100,-7.07%,"14,177","1,849",8.934M,N/A
4A0.F,Anglesey Mining plc,0.0025,-0.0005,-16.67%,"5,000",0,8.889M,N/A
5L8.F,Svenska Aerogel Holding AB (publ),0.0114,-0.0045,-28.30%,"5,000",91,8.759M,N/A
0KR.SG,Kopy Goldfields AB (publ),0.0258,+0.0008,+3.20%,0,0,2.698M,N/A
L4Z.F,MinRex Resources Limited,0.0030,0.0000,0.00%,"2,000",35,8.848M,N/A
5XFA.F,Gold Mountain Mining Corp.,0.0952,-0.0033,-3.35%,"4,000",228,8.843M,N/A
V95.F,FE Battery Metals Corp.,0.3220,+0.0060,+1.90%,100,663,8.837M,N/A
G1J.F,First Tellurium Corp.,0.0850,+0.0020,+2.41%,"6,000",704,8.81M,N/A
7OR.F,Castillo Copper Limited,0.0030,+0.0005,+20.00%,"45,000",0,6.988M,N/A
5P0.F,Global Helium Corp.,0.1605,+0.0135,+9.18%,"1,000",80,8.793M,N/A
ROR.DU,SunMirror AG,4.3700,+0.0100,+0.23%,230,121,8.74M,N/A
W0I.F,Copper Lake Resources Ltd.,0.0280,0.0000,0.00%,"3,000",29,8.702M,N/A
7JL.F,Balkan Mining and Minerals Limited,0.1250,0.0000,0.00%,"21,000",660,8.69M,N/A
V7F.F,Alaska Energy Metals Corporation,0.3220,+0.0060,+1.90%,525,212,8.668M,N/A
ROR.F,Robeco Global Total Return Bond Fund,4.3300,+0.0300,+0.70%,117,"1,065",8.66M,N/A
IAH.F,International Lithium Corp.,0.0300,0.0000,0.00%,"820,000","14,642",8.652M,N/A
G6A.F,Golden Arrow Resources Corporation,0.0645,-0.0070,-9.79%,"22,000",0,8.618M,N/A
3H90.F,Galleon Gold Corp.,0.1400,0.0000,0.00%,22,272,8.612M,N/A
P7J2.F,New Age Metals Inc.,0.0295,0.0000,0.00%,"35,000",767,8.606M,N/A
SS5.F,Stelmine Canada Ltd.,0.0840,-0.0150,-15.15%,"10,000","3,915",8.573M,N/A
8TA.F,Tartisan Nickel Corp.,0.0645,0.0000,0.00%,"10,000",859,8.553M,N/A
8SR.F,Silver Range Resources Ltd.,0.0675,+0.0065,+10.66%,"4,500",554,8.508M,2.25
S1Y.F,Oriole Resources PLC,0.0020,+0.0005,+33.33%,"45,000","2,589",8.439M,N/A
4MZ.F,Cosa Resources Corp.,0.2360,-0.0020,-0.84%,"5,000",0,8.388M,N/A
3GE.F,Group Eleven Resources Corp.,0.0430,-0.0035,-7.53%,"31,000",0,8.188M,N/A
UR2.F,Orosur Mining Inc.,0.0350,-0.0005,-1.41%,124,5,8.411M,N/A
CDVM.F,Currie Rose Resources Inc.,0.0435,-0.0005,-1.14%,"10,000",178,8.356M,N/A
2TU.F,Taruga Minerals Limited,0.0070,-0.0005,-6.67%,"80,000","1,428",5.374M,N/A
5YY.F,Riverside Resources Inc.,0.0905,-0.0040,-4.23%,"6,000",722,8.364M,N/A
OL11.F,Euro Sun Mining Inc.,0.0180,0.0000,0.00%,"5,000","3,142",8.307M,N/A
RGV.F,Riversgold Limited,0.0060,-0.0005,-7.69%,"4,378",471,8.263M,N/A
XC01.F,Camino Minerals Corporation,0.0475,-0.0035,-6.86%,"21,000","1,799",8.233M,N/A
R1EA.F,EV Resources Limited,0.0070,+0.0005,+7.69%,"11,448",740,8.221M,N/A
7NU.F,NuLegacy Gold Corporation,0.0040,0.0000,0.00%,"13,000",232,8.148M,N/A
4B4.F,Australian Silica Quartz Group Ltd.,0.0225,+0.0015,+7.14%,"20,000","5,178",8.141M,N/A
