Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
MFZ.F,"Mitsubishi UFJ Financial Group, Inc.",6.28,-0.08,-1.27%,200,21,76.834B,10.46
ICBA.F,ICICI Bank Limited,20.60,0.00,0.00%,800,66,73.045B,19.25
BNP.F,BNP Paribas SA,56.38,+0.17,+0.30%,752,"2,215",67.966B,7.78
BNP.DE,BNP Paribas SA,56.50,+0.32,+0.57%,"3,085","9,150",68.111B,7.71
BNPH.F,BNP Paribas SA,27.80,-0.40,-1.42%,10,9,67.84B,7.88
PGV.F,The Progressive Corporation,117.00,+0.20,+0.17%,25,21,68.48B,90.00
BZG.F,PT Bank Central Asia Tbk,13.10,-0.30,-2.24%,300,0,67.124B,23.39
2PP.DE,"PayPal Holdings, Inc.",60.44,+1.38,+2.34%,"49,613","44,243",67.961B,27.60
2PP.F,"PayPal Holdings, Inc.",60.43,+0.29,+0.48%,"4,345","5,905",67.422B,27.59
2PP0.F,"PayPal Holdings, Inc.",3.4200,+0.1000,+3.01%,300,85,66.871B,1.56
BZG2.F,PT Bank Central Asia Tbk,0.5350,-0.0400,-6.96%,250,412,67.175B,26.75
ZFI1.F,Zurich Insurance Group AG,43.60,+0.60,+1.40%,120,21,65.302B,15.41
3YB0.F,"Postal Savings Bank of China Co., Ltd.",11.30,-0.10,-0.88%,300,0,64.805B,5.02
3YB.F,"Postal Savings Bank of China Co., Ltd.",0.5750,-0.0050,-0.86%,"2,660",72,63.715B,5.23
4VK.F,Aon plc,302.00,+4.00,+1.34%,7,1,63.467B,26.61
MX4A.DE,CME Group Inc.,167.62,+0.52,+0.31%,10,29,60.613B,23.44
AXA.DE,AXA SA,26.68,+0.24,+0.91%,"3,887","23,566",60.439B,9.39
AXA.F,AXA SA,26.67,+0.08,+0.28%,"4,078","5,279",60.405B,9.36
AXAA.F,AXA SA,26.60,0.00,0.00%,95,30,60.258B,9.33
MX4A.F,CME Group Inc.,165.58,-0.48,-0.29%,40,15,59.997B,22.23
DUT.F,Moody's Corporation,318.00,+5.00,+1.60%,43,12,58.501B,45.69
IC2.DE,"Intercontinental Exchange, Inc.",102.20,0.00,0.00%,2,33,57.884B,42.23
IC2.F,"Intercontinental Exchange, Inc.",102.00,-0.80,-0.78%,45,36,57.543B,41.98
LS4D.F,London Stock Exchange Group plc,25.80,0.00,0.00%,45,0,56.941B,61.43
IVS.F,Investor AB (publ),18.53,+0.15,+0.82%,458,89,56.899B,24.07
IVSD.F,Investor AB (publ),18.53,+0.09,+0.50%,150,441,56.636B,24.39
BKN.F,The Bank of Nova Scotia,46.31,+0.38,+0.82%,85,943,55.545B,9.83
SID.F,State Bank of India,62.50,-1.50,-2.34%,18,45,56.159B,8.88
LS4C.F,London Stock Exchange Group plc,103.00,+1.00,+0.98%,10,34,55.814B,62.05
DEV.F,DBS Group Holdings Ltd,84.50,+0.50,+0.60%,11,0,55.492B,7.17
DEVL.F,DBS Group Holdings Ltd,21.26,-0.02,-0.09%,98,222,54.83B,6.93
BSD2.DE,"Banco Santander, S.A.",3.2450,+0.0420,+1.31%,"98,200","182,111",52.873B,6.01
BVXB.F,Itaú Unibanco Holding S.A.,5.35,0.00,0.00%,500,65,52.43B,9.07
BZZ.F,Bank of Montreal,81.55,0.00,0.00%,220,19,57.691B,5.84
BSD2.F,"Banco Santander, S.A.",3.1825,-0.0340,-1.06%,"1,190","12,882",51.789B,5.79
BYRA.F,PT Bank Rakyat Indonesia (Persero) Tbk,0.3140,-0.0080,-2.48%,330,"2,857",51.631B,15.70
BSDK.F,"Banco Santander, S.A.",3.1400,-0.0400,-1.26%,"1,008",142,51.615B,5.71
XMFA.F,"Sumitomo Mitsui Financial Group, Inc.",7.55,-0.10,-1.31%,"1,300",0,51.51B,9.68
C4C.F,"Bank of Communications Co., Ltd.",0.6050,0.0000,0.00%,"5,605",522,51.12B,4.03
NAL0.MU,National Australia Bank Limited,8.05,0.00,0.00%,N/A,0,50.398B,11.34
XMF.F,"Sumitomo Mitsui Financial Group, Inc.",37.27,-0.66,-1.74%,13,68,50.43B,9.56
K7X.F,Brookfield Corporation,30.22,-0.42,-1.37%,35,247,48.028B,75.54
HK2.F,Hong Kong Exchanges and Clearing Limited,36.20,+0.20,+0.56%,110,0,47.488B,38.51
HK2C.F,Hong Kong Exchanges and Clearing Limited,36.58,+0.16,+0.44%,290,36,47.392B,38.91
PNP.F,"The PNC Financial Services Group, Inc.",116.00,0.00,0.00%,24,5,46.297B,8.47
UB5.F,U.S. Bancorp,30.20,+0.40,+1.34%,480,416,46.294B,8.56
UB5.DE,U.S. Bancorp,30.14,0.00,0.00%,15,929,46.168B,8.86
WBC.F,Westpac Banking Corporation,12.81,+0.17,+1.34%,"1,500",52,45.983B,11.44
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,328.60,+0.70,+0.21%,"234,236","321,579",45.481B,14.13
MUVB.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,32.40,+0.20,+0.62%,200,81,45.321B,13.97
MUV2.F,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,327.90,+0.30,+0.09%,543,785,45.286B,14.11
KR51.F,KKR & Co. Inc.,53.70,+1.24,+2.36%,130,71,45.247B,N/A
INNA.F,ING Groep N.V.,12.10,0.00,0.00%,100,209,44.693B,9.03
INN1.F,ING Groep N.V.,12.26,+0.01,+0.11%,"4,288","16,531",44.462B,9.22
INN1.DE,ING Groep N.V.,12.27,+0.04,+0.33%,"25,161","124,726",44.301B,8.96
MH6.F,"Tokio Marine Holdings, Inc.",21.52,+0.10,+0.47%,550,20,44.265B,20.69
NAL.F,National Australia Bank Limited,16.03,+0.06,+0.39%,50,58,50.173B,10.83
