NEFA.F,Neste Oyj,20.20,0.00,0.00%,200,3,31.135B,19.80
BNB.F,PT Bayan Resources Tbk.,0.9400,-0.0050,-0.53%,"1,600",307,31.333B,13.43
CXD.F,Cenovus Energy Inc.,15.37,+0.18,+1.21%,14,172,29.304B,7.76
DY6.DE,Devon Energy Corporation,45.56,-0.20,-0.44%,12,434,29.236B,5.52
DY6.F,Devon Energy Corporation,45.16,+0.18,+0.40%,147,105,28.979B,5.28
68V.F,Baker Hughes Company,27.43,-0.03,-0.11%,150,27,28.14B,N/A
HAL.F,Halliburton Company,29.76,+0.34,+1.16%,120,237,26.849B,14.31
HAL.DE,Halliburton Company,29.76,-0.26,-0.87%,540,715,26.849B,14.59
IMP.F,Imperial Oil Limited,45.58,-0.10,-0.22%,"7,508",152,26.626B,5.44
ONK.F,"ONEOK, Inc.",55.60,-0.04,-0.07%,90,81,24.981B,11.16
ONK.DE,"ONEOK, Inc.",55.76,-0.24,-0.43%,177,331,24.95B,11.22
NVA3.F,PTT Public Company Limited,0.8150,0.0000,0.00%,250,7,23.458B,9.06
PTOG.F,PTT Public Company Limited,0.8150,0.0000,0.00%,"2,293",110,22.644B,9.06
7DB.F,"Diamondback Energy, Inc.",115.94,-0.74,-0.63%,10,34,20.996B,5.16
ECHA.F,Ecopetrol S.A.,9.50,+0.15,+1.60%,"1,320",483,19.581B,2.90
REP.F,"Repsol, S.A.",13.69,+0.05,+0.40%,432,"1,178",17.767B,4.79
REP.DE,"Repsol, S.A.",13.69,-0.03,-0.18%,"6,256","5,254",17.767B,4.72
REPA.F,"Repsol, S.A.",13.30,+0.10,+0.76%,474,58,17.745B,4.67
XCQ.DE,Coterra Energy Inc.,23.03,+0.04,+0.17%,190,257,17.449B,4.76
PKY1.F,Polski Koncern Naftowy ORLEN Spólka Akcyjna,15.00,+0.35,+2.40%,75,140,17.503B,2.24
XCQ.F,Coterra Energy Inc.,22.67,-0.08,-0.37%,10,100,17.168B,4.62
NVAL.F,PTT Exploration and Production Public Company Limited,4.0200,+0.0400,+1.01%,400,82,16.119B,7.44
PTTG.F,PTT Exploration and Production Public Company Limited,3.9200,+0.0400,+1.03%,250,0,16.119B,7.26
YZC.F,Yankuang Energy Group Company Limited,24.80,+0.80,+3.33%,100,3,16.439B,3.23
YZCA.F,Yankuang Energy Group Company Limited,2.4150,0.0000,0.00%,745,"1,532",15.909B,3.06
P5P.F,Pembina Pipeline Corporation,28.51,-0.01,-0.04%,"3,584",219,15.691B,8.39
STS1.F,Santos Limited,4.6650,+0.1750,+3.90%,180,32,15.61B,7.91
TW11.F,Tenaris S.A.,13.01,+0.21,+1.64%,"1,000",323,15.515B,5.27
TW1.F,Tenaris S.A.,25.60,-0.40,-1.54%,75,16,15.111B,5.06
STS.MU,Santos Limited,4.6200,0.0000,0.00%,N/A,0,15.109B,7.97
TAR.F,Targa Resources Corp.,65.26,-0.02,-0.03%,80,6,14.923B,18.33
ARC.F,Aker BP ASA,22.91,+0.13,+0.57%,432,661,14.474B,11.87
08T.F,Tourmaline Oil Corp.,42.02,+1.07,+2.61%,48,14,14.314B,5.09
ARC1.F,Aker BP ASA,10.90,+0.10,+0.93%,55,0,14.439B,11.12
I8U.F,Inpex Corporation,10.50,0.00,0.00%,486,202,13.749B,4.27
USS.F,Marathon Oil Corporation,21.50,+0.65,+3.12%,220,190,13.278B,5.57
USS.DE,Marathon Oil Corporation,21.35,-0.20,-0.93%,70,440,13.186B,5.41
OMV.F,OMV Aktiengesellschaft,39.96,+0.86,+2.20%,489,"1,858",13.07B,3.74
OMV.DE,OMV Aktiengesellschaft,39.91,+0.91,+2.33%,"14,443","9,048",13.053B,3.70
EQ6.F,EQT Corporation,35.36,+0.06,+0.17%,30,27,12.788B,3.25
CJ6.F,Cameco Corporation,29.14,-0.01,-0.03%,500,"1,025",12.705B,107.93
OMVI.F,OMV Aktiengesellschaft,38.60,-0.40,-1.03%,105,37,12.703B,3.65
CVV.F,China Coal Energy Company Limited,0.6800,-0.0500,-6.85%,909,20,12.07B,3.78
YPF.F,YPF Sociedad Anónima,13.30,+1.10,+9.02%,100,10,10.595B,3.24
CS1.F,Chesapeake Energy Corporation,73.08,+0.68,+0.94%,25,7,9.871B,1.60
2S3.F,APA Corporation,31.26,+0.61,+2.01%,130,94,10.066B,5.33
47Q.F,Ovintiv Inc.,34.01,+0.21,+0.62%,100,2,9.535B,2.13
9WY.F,Texas Pacific Land Corporation,"1,234.00",+14.00,+1.15%,10,0,9.501B,23.62
JHJ.F,"ENEOS Holdings, Inc.",3.1000,-0.1400,-4.32%,100,70,9.379B,4.70
ORL0.F,Origin Energy Limited,5.15,0.00,0.00%,125,0,9.266B,N/A
ORL.F,Origin Energy Limited,5.32,0.00,0.00%,165,312,9.176B,N/A
GZ5.F,"Galp Energia, SGPS, S.A.",10.89,+0.26,+2.45%,"6,500",73,8.926B,4.41
HL80.F,HF Sinclair Corporation,42.00,+0.40,+0.96%,188,6,8.144B,3.05
8RC.F,ARC Resources Ltd.,11.98,+0.54,+4.72%,160,3,7.322B,3.83
0ZQ.F,JSC National Atomic Company Kazatomprom,25.20,-0.60,-2.33%,160,"1,613",7.307B,8.72
WD3.SG,Washington H. Soul Pattinson and Company Limited,20.00,+0.20,+1.01%,0,4,7.309B,10.26
WD3.F,Washington H. Soul Pattinson and Company Limited,20.00,+0.40,+2.04%,51,0,7.309B,10.20
CO9.F,China Oilfield Services Limited,0.9200,+0.0100,+1.10%,"7,000",157,7.048B,13.14
7F80.F,PTT Oil and Retail Business Public Company Limited,0.5350,+0.0050,+0.94%,100,0,6.605B,26.75
MOGG.F,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,3.7000,-0.0400,-1.07%,500,6,6.321B,3.30
MOGB.F,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,7.78,-0.10,-1.27%,"1,700",293,6.308B,3.46
1T1.SG,TechnipFMC plc,13.50,-0.15,-1.10%,0,69,4.157B,N/A
9CI0.F,Cosan S.A.,13.40,-0.20,-1.47%,100,7,6.376B,N/A
J4V.F,Vår Energi AS,2.4990,-0.0050,-0.20%,"1,000",248,6.314B,9.26
CTJ1.F,Kunlun Energy Company Limited,0.7100,0.0000,0.00%,"5,500",192,6.323B,8.88
7F8.F,PTT Oil and Retail Business Public Company Limited,0.5200,-0.0450,-7.96%,165,0,6.082B,26.00
RAX.F,Range Resources Corporation,25.07,+1.27,+5.34%,23,16,6.049B,3.30
7A6.F,Antero Resources Corporation,19.62,+0.78,+4.14%,120,12,5.889B,3.01
1T1.F,TechnipFMC plc,13.27,-0.03,-0.23%,175,218,5.977B,N/A
NO8.F,NOV Inc.,14.40,+0.40,+2.86%,"10,200",213,5.751B,18.46
OS70.F,Chord Energy Corporation,136.80,+1.60,+1.18%,10,0,5.731B,2.91
PD3.F,"PDC Energy, Inc.",64.95,-0.10,-0.15%,16,4,5.649B,3.00
I7B0.MU,"Idemitsu Kosan Co.,Ltd.",9.60,0.00,0.00%,N/A,0,5.555B,2.60
0V4.F,Valvoline Inc.,33.20,-0.40,-1.19%,135,2,5.576B,57.24
MUQ.F,Murphy Oil Corporation,35.14,+0.52,+1.50%,250,0,5.485B,4.64
SW5.F,Southwestern Energy Company,4.9550,+0.1500,+3.12%,429,78,5.457B,0.92
I7B.F,"Idemitsu Kosan Co.,Ltd.",18.40,-0.10,-0.54%,10,5,5.437B,2.48
7MR.F,Matador Resources Company,45.50,-0.02,-0.04%,50,3,5.423B,4.99
WF90.MU,Worley Limited,10.10,0.00,0.00%,N/A,0,5.376B,N/A
DCC.F,DCC plc,53.50,+0.50,+0.94%,244,12,5.333B,13.61
WF9.F,Worley Limited,9.95,+0.10,+1.02%,80,2,5.234B,N/A
YZ8.F,Permian Resources Corporation,9.44,+0.23,+2.55%,"1,000",0,5.217B,5.49
B2C.F,"Civitas Resources, Inc.",63.00,+0.50,+0.80%,5,12,5.127B,4.45
X9P.F,ChampionX Corporation,25.60,0.00,0.00%,180,3,5.096B,30.84
A64.F,PT Adaro Energy Indonesia Tbk,0.1520,+0.0230,+17.83%,100,"1,811",5.074B,1.90
5711.F,Antero Midstream Corporation,10.10,+0.15,+1.51%,"1,510",267,4.926B,15.78
85V1.F,Noble Corporation Plc,33.62,-0.28,-0.84%,968,20,4.936B,16.01
AQ3.F,AltaGas Ltd.,16.72,+0.30,+1.83%,300,5,4.82B,13.93
K2Y.F,Keyera Corp.,20.90,+0.20,+0.97%,27,23,4.799B,19.17
PEN.SG,PBF Energy Inc.,36.93,+0.79,+2.19%,0,40,4.657B,1.56
CLZ.F,Ampol Limited,19.10,-0.10,-0.52%,100,4,4.613B,10.32
PEN.F,PBF Energy Inc.,36.58,+0.23,+0.63%,100,96,4.613B,1.56
0E41.F,"EnLink Midstream, LLC",9.41,+0.12,+1.32%,35,8,4.49B,12.90
NFG.F,National Fuel Gas Company,47.40,+0.60,+1.28%,28,0,4.378B,8.29
YT8.F,"Inner Mongolia Yitai Coal Co.,Ltd",2.0000,-0.0200,-0.99%,540,109,4.319B,4.65
VPK.F,Koninklijke Vopak N.V.,32.20,-0.20,-0.62%,500,8,4.101B,N/A
ME7.F,MEG Energy Corp.,14.04,-0.02,-0.14%,687,5,4.089B,10.48
VPK5.F,Koninklijke Vopak N.V.,32.55,-0.29,-0.88%,75,42,4.09B,N/A
