HUN2.SG,Beijing Enterprises Water Group Limited,0.2076,0.0000,0.00%,0,78,2.124B,10.38
VLA.SG,Voltalia SA,15.76,+0.14,+0.90%,0,0,2.124B,98.50
MVV1.DE,MVV Energie AG,31.60,+1.00,+3.27%,759,654,2.083B,3.00
C3TA.F,Central Puerto S.A.,6.60,+0.30,+4.76%,154,96,2.077B,28.70
76W.SG,SJW Group,65.50,+0.50,+0.77%,10,1,2.058B,23.73
MVV1.F,MVV Energie AG,31.20,-0.60,-1.89%,200,14,2.056B,2.94
CH5.F,Chesapeake Utilities Corporation,115.00,0.00,0.00%,10,0,2.053B,24.95
ECGF.F,Electricity Generating Public Company Limited,3.6000,-0.0400,-1.10%,400,0,1.963B,120.00
PGB1.F,PT Perusahaan Gas Negara Tbk,0.0715,+0.0005,+0.70%,"1,000",26,1.943B,7.15
7JU.F,ReNew Energy Global Plc,5.11,+0.09,+1.79%,300,63,2.103B,N/A
MJVC.F,Zhongyu Energy Holdings Limited,0.6800,-0.0150,-2.16%,N/A,0,1.925B,68.00
3IX.F,Innergex Renewable Energy Inc.,9.20,+0.10,+1.10%,120,0,1.891B,N/A
4DA.F,OX2 AB (publ),6.68,+0.09,+1.44%,19,63,1.856B,19.66
AOR.F,"Solaria Energía y Medio Ambiente, S.A.",13.73,+0.44,+3.35%,10,36,1.75B,18.07
BJ6.F,"Beijing Jingneng Clean Energy Co., Limited",0.2100,+0.0020,+0.96%,"10,000",96,1.799B,5.25
59W.F,"Toho Gas Co., Ltd.",16.20,0.00,0.00%,100,0,1.723B,8.95
RN4.F,"REN - Redes Energéticas Nacionais, SGPS, S.A.",2.5150,+0.0100,+0.40%,"1,000",204,1.685B,11.43
8SP.F,Superior Plus Corp.,6.61,+0.03,+0.52%,200,21,1.649B,N/A
FCW3.SG,Alerion Clean Power S.p.A.,29.50,+0.30,+1.03%,0,0,1.622B,22.35
FCW3.F,Alerion Clean Power S.p.A.,29.55,-0.05,-0.17%,100,2,1.6B,22.22
NG0.F,"Nippon Gas Co., Ltd.",12.70,-0.10,-0.78%,50,14,1.461B,24.42
IGV0.F,AB Ignitis grupe,19.70,0.00,0.00%,30,1,1.44B,3.85
T8T.F,Telecom Plus Plc,17.48,+0.46,+2.70%,1,15,1.389B,24.97
PGJ.F,Towngas Smart Energy Company Limited,0.3960,+0.0240,+6.45%,"1,439",25,1.369B,19.80
